Instance_number,author_guid,account_age,author_type,average_hashtags,average_links,average_minutes_between_posts,average_post_lenth,average_posts_per_day_active_days,average_posts_per_day_total,average_user_mentions,boost_score_avg,boost_score_std_dev,boost_score_sum,boosting_timeslots_count,count_authors_sharing_boosted_posts,friends_followers_ratio,number_followers,number_friends,number_of_crawled_posts,number_of_posts,number_pointed_posts,number_pointers,Cluster
23,09620881f9583cb19f07c2b8275e79e7,330,?,0,0.5,-0.1,19,2,8,1.5,?,?,?,?,?,3.059603,151,462,2,2717,?,?,cluster6
24,0a0710d5c2123798926aef4508cfe565,842,1,0,1,?,7,1,1,1,0.025,0,0.025,0,0,18.468085,47,868,1,1354,1,1,cluster3
25,0a13131e4abf385489ccda6a45a35671,102,?,0,2,65.283333,19,2,77,0,?,?,?,?,?,2.857143,14,40,2,7870,?,?,cluster6
26,0a95c8f918533ac98fea1b7e8c0d65ca,913,?,0,1,?,12,1,0,1,0.081145,0,0.081145,0,0,3.228856,201,649,1,347,1,1,cluster3
27,0aa6851d41a33b7eaa6f65288e6c08cc,12,1,0,1,23.7,12.5,2,5,1,0.013375,0.006348,0.02675,1,191,47.5,2,95,2,69,2,2,cluster0
28,0b35429e0af337369f08518029fb02bf,2650,?,0,1,?,19,1,298,0,0,0,0,0,0,0.916667,732,671,1,792146,1,1,cluster5
29,0b46c6f4245a33208d51f50df407c621,285,?,0,1,?,23,1,50,1,0.000712,0,0.000712,0,0,5.876352,647,3802,1,14377,1,1,cluster2
30,0b6235b52019361ea45bdc3c08a81730,19,1,0,1,93.3,12.5,2,5,1,0.013541,0.006514,0.027082,1,191,47.714286,7,334,2,99,2,2,cluster0
31,0bbbd889c8dc3295b324a08ceae456ae,120,?,0,2,?,14,1,866,0,0,0,0,0,0,0,1224,0,1,103978,1,1,cluster4
32,0bd2992279f63175b8ee580b887cae13,624,1,0,1,?,12,1,1,1,0.000268,0,0.000268,0,0,0.403422,3448,1391,1,1026,1,1,cluster2
33,0beac682e6203c1fa6e70422605fb09f,11,1,0,1,?,10,1,2,1,0,0,0,0,0,19.6,5,98,1,30,1,1,cluster3
34,0c10e115b4903b49a3da11f681a4e56a,239,?,0,1.666667,10752.646667,17.166667,2,1600,0,0.000002,0.000002,0.000007,0,0,0,344,0,6,382528,3,5,cluster4
35,0c2927ffee683926ae8861a456c9864b,12,1,0,1,17.1,12.5,2,6,1,0.013375,0.006348,0.02675,1,191,196,1,196,2,81,2,2,cluster0
36,0d1666eda4d6312da090b3f60f3563b6,12,?,0,1,?,10,1,10,1,0.001238,0,0.001238,0,0,104,3,312,1,126,1,1,cluster3
37,0d451f66a5af36e4b399fd6e944fd91c,3243,?,0,1.25,7673.540476,17.625,2.666667,19,0,0,0,0,0,0,0,779,0,8,62084,9,7,cluster5
38,0db2b25a46203c589db61818cb3bac49,1199,?,0,2,?,14,1,11,0,?,?,?,?,?,1.09061,607,662,1,13202,?,?,cluster6
39,0dd336a330fd364789987f630b87883f,531,?,0,1,?,13,1,17,0,?,?,?,?,?,0.199115,226,45,1,9277,?,?,cluster6
40,0dddb15f34a43fc7873195da06270508,2429,?,0,1,?,20,1,3,0,0,0,0,0,0,1.600334,1196,1914,1,7669,1,1,cluster2
