@RELATION bad_actors 
 @ATTRIBUTE author_guid string 
 @ATTRIBUTE account_age numeric 
 @ATTRIBUTE author_type numeric 
 @ATTRIBUTE average_hashtags numeric 
 @ATTRIBUTE average_links numeric 
 @ATTRIBUTE average_minutes_between_posts numeric 
 @ATTRIBUTE average_post_lenth numeric 
 @ATTRIBUTE average_posts_per_day_active_days numeric 
 @ATTRIBUTE average_posts_per_day_total numeric 
 @ATTRIBUTE average_user_mentions numeric 
 @ATTRIBUTE boost_score_avg numeric 
 @ATTRIBUTE boost_score_std_dev numeric 
 @ATTRIBUTE boost_score_sum numeric 
 @ATTRIBUTE boosting_timeslots_count numeric 
 @ATTRIBUTE count_authors_sharing_boosted_posts numeric 
 @ATTRIBUTE friends_followers_ratio numeric 
 @ATTRIBUTE number_followers numeric 
 @ATTRIBUTE number_friends numeric 
 @ATTRIBUTE number_of_crawled_posts numeric 
 @ATTRIBUTE number_of_posts numeric 
 @ATTRIBUTE number_pointed_posts numeric 
 @ATTRIBUTE number_pointers numeric 
  @DATA 
 08964b54b7df3b4798ee2629d987f76b, 99.0, ?, 0.0, 1.0, 55579.9, 6.0, 1.0, 129.0, 0.0, 1.2913223140495869e-06, 0.0, 1.2913223140495869e-06, 0.0, 0.0, 1.6560332871012482, 1442.0, 2388.0, 2.0, 12781.0, 1.0, 1.0 
 08b859e81ac830aba26b93ad0d523b3a, 200.0, ?, 0.0, 0.0, ?, 14.0, 1.0, 0.0, 1.0, ?, ?, ?, ?, ?, 10.0, 1.0, 10.0, 1.0, 18.0, ?, ? 
 094effb0a991305d8a708b6a0f850295, 19.0, 1.0, 0.0, 1.0, 46.8, 12.5, 2.0, 5.0, 1.0, 0.013374851129307946, 0.006348223910373034, 0.026749702258615893, 1.0, 191.0, 31.1, 10.0, 311.0, 2.0, 107.0, 2.0, 2.0 
 09620881f9583cb19f07c2b8275e79e7, 330.0, ?, 0.0, 0.5, -0.1, 19.0, 2.0, 8.0, 1.5, ?, ?, ?, ?, ?, 3.0596026490066226, 151.0, 462.0, 2.0, 2717.0, ?, ? 
 0a0710d5c2123798926aef4508cfe565, 842.0, 1.0, 0.0, 1.0, ?, 7.0, 1.0, 1.0, 1.0, 0.025, 0.0, 0.025, 0.0, 0.0, 18.46808510638298, 47.0, 868.0, 1.0, 1354.0, 1.0, 1.0 
 0a13131e4abf385489ccda6a45a35671, 102.0, ?, 0.0, 2.0, 65.28333333333335, 19.0, 2.0, 77.0, 0.0, ?, ?, ?, ?, ?, 2.857142857142857, 14.0, 40.0, 2.0, 7870.0, ?, ? 
 0a95c8f918533ac98fea1b7e8c0d65ca, 913.0, ?, 0.0, 1.0, ?, 12.0, 1.0, 0.0, 1.0, 0.08114505472971081, 0.0, 0.08114505472971081, 0.0, 0.0, 3.228855721393035, 201.0, 649.0, 1.0, 347.0, 1.0, 1.0 
 0aa6851d41a33b7eaa6f65288e6c08cc, 12.0, 1.0, 0.0, 1.0, 23.7, 12.5, 2.0, 5.0, 1.0, 0.013374851129307946, 0.006348223910373034, 0.026749702258615893, 1.0, 191.0, 47.5, 2.0, 95.0, 2.0, 69.0, 2.0, 2.0 
 0b35429e0af337369f08518029fb02bf, 2650.0, ?, 0.0, 1.0, ?, 19.0, 1.0, 298.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9166666666666666, 732.0, 671.0, 1.0, 792146.0, 1.0, 1.0 
 0b46c6f4245a33208d51f50df407c621, 285.0, ?, 0.0, 1.0, ?, 23.0, 1.0, 50.0, 1.0, 0.00071233884824591, 0.0, 0.00071233884824591, 0.0, 0.0, 5.876352395672334, 647.0, 3802.0, 1.0, 14377.0, 1.0, 1.0 
