Twitter_Screen_Name,twitter_url,facebook_url,web_url,hebrew_name,role,Type
,,https://www.facebook.com/hmcisraeli/?__tn__=%2Cd%2CP-R&eid=ARDs-YQAU6tZnPx3Lf5-haHFUlln2Vqd2rsenGrGABADOv_BPSA6lGrTS5qT06jXo9N1wXctrlyhQR-A,https://hmc.co.il/,הרצליה מדיקל סנטר,,Hospital
,,https://www.facebook.com/mymchospital/,,מרכז רפואי מעייני הישועה,,Hospital
,,https://www.facebook.com/hillelyaffe/,https://hy.health.gov.il/,בית חולים הלל יפה,,Hospital
,,https://www.facebook.com/%D7%91%D7%99%D7%AA-%D7%97%D7%95%D7%9C%D7%99%D7%9D-%D7%90%D7%9C%D7%99%D7%A9%D7%A2-%D7%91%D7%99%D7%AA-%D7%94%D7%97%D7%95%D7%9C%D7%99%D7%9D-%D7%94%D7%A4%D7%A8%D7%98%D7%99-%D7%A9%D7%9C-%D7%94%D7%A6%D7%A4%D7%95%D7%9F-214792982266671/,,בית חולים אלישע ,,Hospital
,,https://www.facebook.com/briutacare/,,מרכז רפואי בריאותא,,Hospital
,,https://www.facebook.com/poria.health/,,המרכז הרפואי פוריה ,,Hospital
,,https://www.facebook.com/Emekmedicalcenter/?__tn__=%2Cd%2CP-R&eid=ARCCkBK1v1BJUbfeNl-NGO3c_OAqV79icJDkBrX9Po6p5Ki0nqWGrGTPKLt9k32uyS3bv5D2lCeGr6V9,https://hospitals.clalit.co.il/emek/he/Pages/default.aspx,מרכז רפואי העמק ,,Hospital
,,,https://hospitals.clalit.co.il/loewenstein/he/Pages/default.aspx,בית החולים לוינשטיין,,Hospital
,,https://www.facebook.com/Schneider.Hospital/,,מרכז רפואת שניידר לרפואת ילדים ,,Hospital
,,https://www.facebook.com/MirpaotBikurofe/,,ביקור רופא,,Organization
,,https://www.facebook.com/AssutaHospitals/,https://www.assuta.co.il/hospitals/about_assuta_beersheva/,בית חולים אסותא,,Hospital
,,,http://www.herzoghospital.org/,בית החולים הרצוג,,Hospital
,,https://www.facebook.com/%D7%94%D7%9E%D7%A8%D7%9B%D7%96-%D7%94%D7%A8%D7%A4%D7%95%D7%90%D7%99-%D7%A7%D7%A4%D7%9C%D7%9F-145487876086677/,https://hospitals.clalit.co.il/kaplan/he/Pages/default.aspx,בית החולים קפלן ,,Hospital
,,,http://www.shmuelh.org.il/http://www.hadassah.org.il/,בית החולים שמואל הרופא,,Hospital
,,,https://hospitals.clalit.co.il/rabin/he/Pages/default.aspx,בית החולים בלינסון,,Hospital
LeeGat1,https://twitter.com/LeeGat1,,,,דוברת המרכז הרפואי שיבא תל השומר,Person
