No.,Instance_number,author_guid,account_age,author_type,average_hashtags,average_links,average_minutes_between_posts,average_post_lenth,average_posts_per_day_active_days,average_posts_per_day_total,average_user_mentions,default_profile,default_profile_image,friends_followers_ratio,number_followers,number_friends,number_of_crawled_posts,number_of_posts,Cluster,Cluster
478,8320,e4ff0f44a5eb33a090c78725b8763c5f,727,?,0,0,4458.116667,3,1,738,0,1,0,0.040286,1117,45,2,537050,cluster1,
479,565,0f97c4a69e373e1ba9faa32308c4f9f6,722,?,0,1,4403.341667,16,1,736,0,1,0,0.155172,348,54,3,532105,cluster1,
480,648,11d9585e7671392bba867bf408ace907,722,?,0,1,2827.183333,16,1,732,0,1,0,0.04958,1190,59,2,528933,cluster1,
481,4022,6ce5b2a263993fd6810d20698e245005,722,?,0,1,1684.022222,16,1.333333,738,0,1,0,0.187861,346,65,4,533041,cluster1,
482,4490,7954c3611c9d381e8094be9771530c83,722,?,0,0,2580.216667,0,1,737,0,1,0,0.145205,365,53,2,532717,cluster1,
483,4573,7b7059026e6233fe8d12d8cd81930cee,722,?,0,0,2528.988889,15,1,738,0,1,0,0.217949,312,68,4,532943,cluster1,
484,4875,83064b4f5dde30bc8461a3aad6eabfc7,722,?,0,0,3014.283333,0,1,738,0,1,0,0.160714,392,63,2,532960,cluster1,
485,6353,ade426f60d3a3f98b839c7d4a7e9e683,722,?,0,2,2671.333333,16,1,736,0,1,0,0.076164,709,54,3,531405,cluster1,
486,6397,af2060ece87731498422d89f3ca7a519,722,?,0,2,2276.4,16,1.333333,735,0,1,0,0.172078,308,53,4,531087,cluster1,
487,2766,4af879a846233a5abe905e5d7043a324,688,?,0,1,?,9,1,151,1,0,0,0.000348,92044,32,1,103916,cluster1,
488,4961,856662bbd91a31ed8a228f397f3a3a0b,683,?,0,0,?,3,1,203,1,0,0,0.611225,16534,10106,1,139233,cluster1,
489,2323,3e752f64dd62318bb7e95c3c84397dff,673,?,0,1,?,13,1,118,0,0,0,0.862331,10932,9427,1,79888,cluster1,
490,4270,735c82ab63973c95bf4d43428b805696,670,?,0,1,?,5,1,886,0,0,0,0.274802,1008,277,1,594223,cluster1,
491,7736,d344f4b30c793323a9b4baccc16056c1,660,?,0,0,?,14,1,12,1,0,0,0.002807,72682,204,1,8280,cluster1,
492,2900,4ef7d8b0a711345f805bec565af12dc8,654,?,0,0,?,24,1,1,0,0,0,0.015765,11735,185,1,1247,cluster1,
493,593,104d58d3f137316ead77b58703c978ec,653,?,0,0,909.066667,9,1.333333,80,0.25,0,0,0.125898,22423,2823,4,52384,cluster1,
494,6513,b2771cd1cebc3ff09264c0b35faeb134,653,?,0,1,?,16,1,4,0,1,0,0.891419,16117,14367,1,2739,cluster1,
495,5107,8982b405910a38318931ab54b5b1eba4,650,?,0,0,489.05625,8.666667,2.25,122,0.222222,1,0,0.424242,11352,4816,9,79316,cluster1,
496,1800,2fdc3d611a5933ecb453236eaa8d59ed,645,?,0,1,?,16,1,3,0,1,0,0.031668,12031,381,1,2307,cluster1,
497,6867,bbc23176a84b39069e539d2db66672fe,643,?,0,1,1610.958333,18.285714,1.4,4,1,0,0,2.891667,120,347,7,2942,cluster1,
498,4621,7cc9aa1e8134390491ef1da266aba937,638,?,0,1.666667,3139.2,16.166667,1.2,48,0,1,0,0.493573,1167,576,6,30713,cluster1,
499,3824,6758217e0b85321c96c46307baae7a30,623,?,0,1,7531.466667,5,1,301,0,1,0,1.010909,1100,1112,3,187921,cluster1,
500,6529,b2d09e67119c39c8a253725f86f2c539,621,?,0,1,1921.105263,1,3.545455,2566,0,1,0,0.2,1665,333,39,1593928,cluster1,
501,7600,cfa0d87abd033d5a98f0f784b0961fd0,621,?,0,2,253.81,14.666667,3,57,0.333333,1,0,0.189423,11440,2167,6,36007,cluster1,
502,7922,d92fc92768e73934a7b1883a901ab4e6,621,?,0,0.5,0.894444,17.5,4,11,1,1,0,0.538767,503,271,4,7119,cluster1,
503,8214,e19791c09f45388298278f3133488e7a,614,?,0,1,?,18,1,410,0,0,0,0.150543,6171,929,1,251915,cluster1,
504,6845,bb12e5ad78cd33ed80f9f305850daef7,596,?,0,0,695.964912,5.4,4,88,0.7,1,0,0.031572,26986,852,20,53005,cluster1,
505,5215,8d171c363ed9358babe4b47a2077ce8f,587,?,0,0,459.930556,7.428571,2.333333,181,0.142857,1,0,0.133034,25625,3409,7,106508,cluster1,
506,8908,f5ac9932820931f1ad6fa9f84adf85b3,585,?,0,0.5,2890.616667,16.5,1,25,1,0,0,0.842546,2388,2012,2,15045,cluster1,
507,2019,35aa561fba6b375e961d156d63ba1af6,569,?,0,1,1732.666667,17,1,29,0,0,0,0.94269,3420,3224,2,16944,cluster1,
508,5802,9e28c1c1117b39df98627078a1606ea7,564,?,0,1,0.066667,22,2,20,1,1,0,1.020239,3014,3075,2,11735,cluster1,
509,9013,f8ba76e4db773f2c839089a854ec222d,560,?,0,1,2042.169444,21.285714,3.5,82,0,1,0,1.078947,456,492,7,46256,cluster1,
510,8696,efe75ea5fac73a3bb46cf18e5eaac2f1,558,?,0,0,?,29,1,11,0,0,0,0.991479,32977,32696,1,6418,cluster1,
511,435,0c0da928ebdb3c619a4a6adba395f122,552,?,0,1,?,19,1,0,1,0,0,0.001914,10973,21,1,548,cluster1,
512,231,05e36819ff663473bf5676bba331002e,550,?,0,0,?,0,1,112,0,0,0,0.196897,12504,2462,1,62033,cluster1,
513,7594,cf5a60738c1137b886052a271dfd2d5f,538,?,0,0,?,23,1,4,0,0,0,0.030007,10964,329,1,2352,cluster1,
514,4478,78fc5880209e320b8f64541539033b56,534,?,0,2,0.3,13,2,171,0,0,0,1.03902,4818,5006,2,91362,cluster1,
515,1133,1e06afd5aad5386cba538a1855c0335f,523,?,0,0,753.782609,15.291667,3,40,0,1,0,0.731707,82,60,24,21344,cluster1,
516,8333,e54b86081b5936839a698cb23dcecbb1,514,?,0,0,?,9,1,372,1,0,0,0.781452,5715,4466,1,191213,cluster1,
517,5721,9bac38aab4d23b91ae445ebd108e72ba,513,?,0,2,?,16,1,373,0,1,0,0.155102,245,38,1,191362,cluster1,
518,2731,4a2aa018effd30bd861deff68cd2bf3b,511,?,0,2,2840.083333,16.5,1,319,0,1,0,0.330579,121,40,2,163350,cluster1,
519,3570,613973c015fc387082372acf6b2a9dd4,511,?,0,2,4.491667,15.2,5,232,0,1,0,0.307692,130,40,5,118595,cluster1,
520,8955,f6b380359f373e4088dec28de797cdc8,511,?,0,2,1971.979845,16.181818,3.384615,335,0,1,0,0.190476,210,40,44,171201,cluster1,
521,7674,d18eb538202935be93ce3cfca56f618c,506,?,0,2,159.783333,17.333333,4.5,221,0,1,0,0.311475,122,38,9,112076,cluster1,
522,282,079f6ce69b3337a9addaeebe952037df,504,?,0,1,?,20,1,511,1,0,0,0,1891,0,1,257754,cluster1,
523,8678,ef7ec37e1c6e3c40bb4fd060bf5d6d80,502,?,0,2,4805.608333,11.666667,1,314,0,1,0,0.261438,153,40,3,157962,cluster1,
524,4724,7f94e613f66a386d84194a05a5a47231,499,?,0,2,?,16,1,401,0,1,0,0.186916,214,40,1,200235,cluster1,
525,3271,591a05260a12318ca9a783401b5db5da,495,?,0,2,0.066667,15.75,4,6,1,0,0,0.979899,199,195,4,3161,cluster1,
526,7639,d0a6b9605e933ebd896757f1b97ab175,473,?,0,1,2929.158333,13.571429,3.5,10,0,1,0,0.344828,58,20,7,5027,cluster1,
527,7378,c973e023534a35c9a9795ea6a76929c3,466,?,0,2,?,14,1,368,0,1,0,0.25974,154,40,1,171877,cluster1,
528,6292,abee0e70ddcc3fd9960f5e1e6f531c7f,464,?,0,1,15287.26667,14,1,8,1,1,0,1.419886,3520,4998,2,3829,cluster1,
529,7959,da78d6c033b2371b82f335b415585dc5,464,?,0,1,?,19,1,12,0,1,0,0,92055,0,1,5744,cluster1,
530,952,1906c4e719653b2d92620f00fec18fef,463,?,0,1,4747.816667,20.2,1.25,4,0,1,0,0.920238,2520,2319,5,2227,cluster1,
531,1232,20e429bcae6637dcadec733c8f94bcbb,458,?,0,1,?,18,1,404,0,1,0,0.118483,1266,150,1,185034,cluster1,
532,257,06ceb93b2d883687b4db730f2b4dfc68,453,?,0,2,?,12,1,374,0,1,0,0.180995,221,40,1,169711,cluster1,
533,660,12237ccf2b4c3d3f9215e33a003ad107,448,?,0,2,?,16,1,372,0,1,0,0.155378,251,39,1,166787,cluster1,
534,8027,dbf4b69d9a583d5bb99c45cfec6d0baa,444,?,0,1,?,26,1,382,0,0,0,0.988184,4316,4265,1,169752,cluster1,
535,9026,f8fe71599b5e338e92aa585eb6eaaf96,440,?,0,2,?,12,1,63,0,0,0,0.014582,10698,156,1,27722,cluster1,
536,2852,4d8408319152360c857866aa11bd1fcc,437,?,0,1.5,4.333333,17,2,340,0,0,0,0.581511,1006,585,2,148733,cluster1,
537,8437,e8b13af772fa3f1897e6896b8ab7496c,437,?,0,0,?,0,1,47,0,1,0,0.007184,25752,185,1,20952,cluster1,
538,6832,ba9b1594424d36beb89ebbee38b13aaf,436,?,0,2,316.189296,18.746781,17.923077,1882,0,0,0,0.070213,470,33,233,820957,cluster1,
539,1772,2f21f36a86913161813160308a6947b1,428,?,0,0,?,24,1,20,1,0,0,0.02791,21462,599,1,8962,cluster1,
540,5783,9d8b67917c7034de809fbfc1582f2f8c,426,?,0,0,2.108333,21,3,15,2,0,0,1.571475,3085,4848,3,6601,cluster1,
541,7828,d6694270c6543f13b32e4f950d052244,403,?,0,1,1000.283333,12,1.5,24,0,0,0,0.972029,36145,35134,3,9890,cluster1,
542,2739,4a5610dc584f346ba680ce1aaf2b103e,402,?,0,0.4,3560.4875,4.4,1.25,638,0,0,0,0.11621,4380,509,5,256665,cluster1,
543,5712,9b5e1155c3a232a1b79b9c52fa191943,399,?,0,0,?,21,1,33,2,1,0,0.004146,35699,148,1,13439,cluster1,
544,5424,929fd5b0a146386f812d279ae1153491,396,?,0,1,848.040909,14.666667,1.714286,767,0,0,0,1.009235,2707,2732,12,303770,cluster1,
545,1513,28313232843935d99365f9bf3e8c9965,395,?,0,0,9271.483333,0,1,795,0,1,0,0.004381,2739,12,3,314159,cluster1,
546,4496,798d408ffbf1315488c693413ea0f5fb,389,?,0,1,?,4,1,388,0,0,0,2.128655,513,1092,1,151284,cluster1,
547,29,00df4d4b10af36119876aa3a0c4fd7a2,383,?,0,0,232.555882,10.388889,4.5,18,0.722222,1,0,1.068182,2200,2350,18,7094,cluster1,
548,3222,57e48df59df637f1ad315b653bf02803,377,?,0,0.1,1057.20942,1.742857,5.384615,576,0,0,0,1.100989,4753,5233,70,217231,cluster1,
549,8186,e0bf9bc890593c6fab3290616fcb6f36,367,?,0,0,?,22,1,27,2,0,0,0.973178,28260,27502,1,9970,cluster1,
550,1298,225612af730535c2abc1562bf10989e9,364,?,0,0,1.125,23,3,19,2,0,0,0.313433,134,42,3,6958,cluster1,
551,3933,6ac8c6a0d6d3361195f6b7fe9ae09bef,348,?,0,2,3056.380556,17.428571,1.4,46,0.571429,1,0,2.02265,883,1786,7,16149,cluster1,
552,2084,3763a141e24b3ba29b3d092d37cd11fb,346,?,0,1,?,9,1,562,0,1,0,0.297109,2006,596,1,194470,cluster1,
553,4196,71a4b96ff5ac3207ab819d0f4f208b36,337,?,0,2,?,11,1,5,0,0,0,0.005903,46758,276,1,1701,cluster1,
554,7588,cf30cf5848093c08b533496832d34ab2,333,?,0,0,886.433333,10.5,2,26,0.25,1,0,1.208643,2823,3412,4,8892,cluster1,
