No.,Instance_number,author_guid,account_age,author_type,average_hashtags,average_links,average_minutes_between_posts,average_post_lenth,average_posts_per_day_active_days,average_posts_per_day_total,average_user_mentions,default_profile,default_profile_image,friends_followers_ratio,number_followers,number_friends,number_of_crawled_posts,number_of_posts,Cluster
103,2827,4ccbe4cb28bf3911b5b8d40de4005a2a,2633,?,0,0,?,15,1,7,0,0,0,0.087031,10502,914,1,20867,cluster1
104,976,19740990390d3f82adf68f836ce358ae,2632,?,0,2,?,16,1,6,0,0,0,0.007019,124939,877,1,16698,cluster1
105,7222,c55dc4f6646f34d9a66c17665c09d67f,2631,?,0,1,?,19,1,44,0,0,0,0.292723,10293,3013,1,117708,cluster1
106,5057,88046937256f31a49db6238f6f742d21,2629,?,0,0,?,0,1,19,0,0,0,0.000087,218485,19,1,50384,cluster1
107,1744,2e6bc76f662932b592e7c4f01405ac60,2624,?,0,1,?,20,1,35,1,0,0,0.972113,8355,8122,1,93952,cluster1
108,7668,d164011c97a3381cac0892c43f93382a,2624,?,0,0,?,26,1,155,1,0,0,0.393371,154770,60882,1,408167,cluster1
109,7538,cdc8259c3667361aa747d70d5e45d958,2623,?,0,0,?,7,1,70,0,0,0,0.979546,17454,17097,1,185671,cluster1
110,1353,23c0a5230a933ae1b1280f72deb04b3e,2614,?,0,1,15660.06667,13.5,1,5,0,0,0,0.039607,10276,407,2,15449,cluster1
111,6379,ae8421fb3d5e3f4e84b3103d84744646,2613,?,0,1,?,10,1,94,1,0,0,0.000174,1204408,209,1,246533,cluster1
112,6747,b7e96ea3d86c3b63a47ea46e83303a5e,2613,?,0,0,?,20,1,28,0,0,0,0.116985,9685,1133,1,74752,cluster1
113,4993,8632f00088dd3e80a585e874a7779838,2612,?,0,2,?,15,1,4,1,0,0,0.194662,10192,1984,1,10756,cluster1
114,5378,915df476d82c3eb78df3b04869534964,2611,?,0,1,?,13,1,9,0,0,0,0.864908,11370,9834,1,24161,cluster1
115,6487,b1b721bdfd553ca3920ceb3dc2d00ef6,2604,?,0,1,6539.833333,14.25,1,35,0,1,0,0.209082,4008,838,4,91932,cluster1
116,6962,be69402796c03d16ac58910efd6a8540,2603,?,0,0,29.7,3.333333,3,0,0,0,0,0.827471,597,494,3,141,cluster1
117,3059,5335cc358f883bc0b086db70f1fbc573,2602,?,0,1,?,14,1,15,1,0,0,0.010955,44639,489,1,39038,cluster1
118,587,1027a90b7a15364e820bfbaac02db500,2593,?,0,0,?,1,1,6,0,1,0,0.070502,13489,951,1,16460,cluster1
119,7403,ca0d519a460f3036ab07264518673179,2591,?,0,0,?,24,1,26,2,0,0,0.001121,79408,89,1,69885,cluster1
120,7439,cb0053bc20f437b2977fa4c578edd76e,2591,?,0,0.333333,2418.65,14.333333,1.5,64,1,0,0,0.772081,17221,13296,3,166988,cluster1
121,6340,ad9ffd53cb7e3041a2cc5364d871c420,2586,?,0,2,?,14,1,137,1,0,0,0.007762,773,6,1,356368,cluster1
122,7035,c03fcc03c34a3a668adcf2a1f131256b,2584,?,0,1,?,11,1,12,1,0,0,0.906721,8823,8000,1,32873,cluster1
123,7188,c42db5406f513380adbd98832922ca26,2582,?,0,1,8124.575,16.333333,1,173,1.333333,0,0,1.649835,3030,4999,3,447443,cluster1
124,8942,f65ec0fc110839c08542dd6faecc5c55,2577,?,0,1,?,23,1,220,1,0,0,1.100249,12828,14114,1,568555,cluster1
125,1979,34be2580a5a532b4a69d4c4d43ad5df7,2576,?,0,0,790.286667,9.333333,2,44,0,0,0,0.078976,20006,1580,6,115511,cluster1
126,6237,aa8caa58e34e34ce8f084ec2046338c0,2574,?,0,0,625.183333,9.5,2,81,1,1,0,1.456218,3369,4906,2,210010,cluster1
