@relation 'bad_actors-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Reorder-R1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,2-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R1_predicted'

@attribute boost_score_avg numeric
@attribute boost_score_std_dev numeric
@attribute boost_score_sum numeric
@attribute boosting_timeslots_count numeric
@attribute cocitation_net_betweenness_centrality numeric
@attribute cocitation_net_betweenness_centrality_aggregation_function_kurt_neighb_size_1 numeric
@attribute cocitation_net_betweenness_centrality_aggregation_function_kurt_neighb_size_2 numeric
@attribute cocitation_net_betweenness_centrality_aggregation_function_mean_neighb_size_1 numeric
@attribute cocitation_net_betweenness_centrality_aggregation_function_mean_neighb_size_2 numeric
@attribute cocitation_net_betweenness_centrality_aggregation_function_skew_neighb_size_1 numeric
@attribute cocitation_net_betweenness_centrality_aggregation_function_skew_neighb_size_2 numeric
@attribute cocitation_net_betweenness_centrality_aggregation_function_std_neighb_size_1 numeric
@attribute cocitation_net_betweenness_centrality_aggregation_function_std_neighb_size_2 numeric
@attribute cocitation_net_closeness_centrality numeric
@attribute cocitation_net_closeness_centrality_aggregation_function_kurt_neighb_size_1 numeric
@attribute cocitation_net_closeness_centrality_aggregation_function_kurt_neighb_size_2 numeric
@attribute cocitation_net_closeness_centrality_aggregation_function_mean_neighb_size_1 numeric
@attribute cocitation_net_closeness_centrality_aggregation_function_mean_neighb_size_2 numeric
@attribute cocitation_net_closeness_centrality_aggregation_function_skew_neighb_size_1 numeric
@attribute cocitation_net_closeness_centrality_aggregation_function_skew_neighb_size_2 numeric
@attribute cocitation_net_closeness_centrality_aggregation_function_std_neighb_size_1 numeric
@attribute cocitation_net_closeness_centrality_aggregation_function_std_neighb_size_2 numeric
@attribute cocitation_net_degree_centrality numeric
@attribute cocitation_net_degree_centrality_aggregation_function_kurt_neighb_size_1 numeric
@attribute cocitation_net_degree_centrality_aggregation_function_kurt_neighb_size_2 numeric
@attribute cocitation_net_degree_centrality_aggregation_function_mean_neighb_size_1 numeric
@attribute cocitation_net_degree_centrality_aggregation_function_mean_neighb_size_2 numeric
@attribute cocitation_net_degree_centrality_aggregation_function_skew_neighb_size_1 numeric
@attribute cocitation_net_degree_centrality_aggregation_function_skew_neighb_size_2 numeric
@attribute cocitation_net_degree_centrality_aggregation_function_std_neighb_size_1 numeric
@attribute cocitation_net_degree_centrality_aggregation_function_std_neighb_size_2 numeric
@attribute cocitation_net_in_degree_centrality numeric
@attribute cocitation_net_in_degree_centrality_aggregation_function_kurt_neighb_size_1 numeric
@attribute cocitation_net_in_degree_centrality_aggregation_function_kurt_neighb_size_2 numeric
@attribute cocitation_net_in_degree_centrality_aggregation_function_mean_neighb_size_1 numeric
@attribute cocitation_net_in_degree_centrality_aggregation_function_mean_neighb_size_2 numeric
@attribute cocitation_net_in_degree_centrality_aggregation_function_skew_neighb_size_1 numeric
@attribute cocitation_net_in_degree_centrality_aggregation_function_skew_neighb_size_2 numeric
@attribute cocitation_net_in_degree_centrality_aggregation_function_std_neighb_size_1 numeric
@attribute cocitation_net_in_degree_centrality_aggregation_function_std_neighb_size_2 numeric
@attribute cocitation_net_out_degree_centrality numeric
@attribute cocitation_net_out_degree_centrality_aggregation_function_kurt_neighb_size_1 numeric
@attribute cocitation_net_out_degree_centrality_aggregation_function_kurt_neighb_size_2 numeric
@attribute cocitation_net_out_degree_centrality_aggregation_function_mean_neighb_size_1 numeric
@attribute cocitation_net_out_degree_centrality_aggregation_function_mean_neighb_size_2 numeric
@attribute cocitation_net_out_degree_centrality_aggregation_function_skew_neighb_size_1 numeric
@attribute cocitation_net_out_degree_centrality_aggregation_function_skew_neighb_size_2 numeric
@attribute cocitation_net_out_degree_centrality_aggregation_function_std_neighb_size_1 numeric
@attribute cocitation_net_out_degree_centrality_aggregation_function_std_neighb_size_2 numeric
@attribute count_authors_sharing_boosted_posts numeric
@attribute max_tfidf numeric
@attribute sum_tfidf numeric
@attribute topic_net_betweenness_centrality numeric
@attribute topic_net_betweenness_centrality_aggregation_function_kurt_neighb_size_1 numeric
@attribute topic_net_betweenness_centrality_aggregation_function_kurt_neighb_size_2 numeric
@attribute topic_net_betweenness_centrality_aggregation_function_mean_neighb_size_1 numeric
@attribute topic_net_betweenness_centrality_aggregation_function_mean_neighb_size_2 numeric
@attribute topic_net_betweenness_centrality_aggregation_function_skew_neighb_size_1 numeric
@attribute topic_net_betweenness_centrality_aggregation_function_skew_neighb_size_2 numeric
@attribute topic_net_betweenness_centrality_aggregation_function_std_neighb_size_1 numeric
@attribute topic_net_betweenness_centrality_aggregation_function_std_neighb_size_2 numeric
@attribute topic_net_closeness_centrality numeric
@attribute topic_net_closeness_centrality_aggregation_function_kurt_neighb_size_1 numeric
@attribute topic_net_closeness_centrality_aggregation_function_kurt_neighb_size_2 numeric
@attribute topic_net_closeness_centrality_aggregation_function_mean_neighb_size_1 numeric
@attribute topic_net_closeness_centrality_aggregation_function_mean_neighb_size_2 numeric
@attribute topic_net_closeness_centrality_aggregation_function_skew_neighb_size_1 numeric
@attribute topic_net_closeness_centrality_aggregation_function_skew_neighb_size_2 numeric
@attribute topic_net_closeness_centrality_aggregation_function_std_neighb_size_1 numeric
@attribute topic_net_closeness_centrality_aggregation_function_std_neighb_size_2 numeric
@attribute topic_net_degree_centrality numeric
@attribute topic_net_degree_centrality_aggregation_function_kurt_neighb_size_1 numeric
@attribute topic_net_degree_centrality_aggregation_function_kurt_neighb_size_2 numeric
@attribute topic_net_degree_centrality_aggregation_function_mean_neighb_size_1 numeric
@attribute topic_net_degree_centrality_aggregation_function_mean_neighb_size_2 numeric
@attribute topic_net_degree_centrality_aggregation_function_skew_neighb_size_1 numeric
@attribute topic_net_degree_centrality_aggregation_function_skew_neighb_size_2 numeric
@attribute topic_net_degree_centrality_aggregation_function_std_neighb_size_1 numeric
@attribute topic_net_degree_centrality_aggregation_function_std_neighb_size_2 numeric
@attribute topic_net_in_degree_centrality numeric
@attribute topic_net_in_degree_centrality_aggregation_function_kurt_neighb_size_1 numeric
@attribute topic_net_in_degree_centrality_aggregation_function_kurt_neighb_size_2 numeric
@attribute topic_net_in_degree_centrality_aggregation_function_mean_neighb_size_1 numeric
@attribute topic_net_in_degree_centrality_aggregation_function_mean_neighb_size_2 numeric
@attribute topic_net_in_degree_centrality_aggregation_function_skew_neighb_size_1 numeric
@attribute topic_net_in_degree_centrality_aggregation_function_skew_neighb_size_2 numeric
@attribute topic_net_in_degree_centrality_aggregation_function_std_neighb_size_1 numeric
@attribute topic_net_in_degree_centrality_aggregation_function_std_neighb_size_2 numeric
@attribute topic_net_out_degree_centrality numeric
@attribute topic_net_out_degree_centrality_aggregation_function_kurt_neighb_size_1 numeric
@attribute topic_net_out_degree_centrality_aggregation_function_kurt_neighb_size_2 numeric
@attribute topic_net_out_degree_centrality_aggregation_function_mean_neighb_size_1 numeric
@attribute topic_net_out_degree_centrality_aggregation_function_mean_neighb_size_2 numeric
@attribute topic_net_out_degree_centrality_aggregation_function_skew_neighb_size_1 numeric
@attribute topic_net_out_degree_centrality_aggregation_function_skew_neighb_size_2 numeric
@attribute topic_net_out_degree_centrality_aggregation_function_std_neighb_size_1 numeric
@attribute topic_net_out_degree_centrality_aggregation_function_std_neighb_size_2 numeric
@attribute 'prediction margin' numeric
@attribute 'predicted author_type' {bad_actor,good_actor}
@attribute author_type {bad_actor,good_actor}

@data
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000051,-1.912312,26.199425,0.021381,0.002628,0.52727,5.198071,0.027156,0.009379,0.486759,-1.891172,18.942695,0.646693,0.53634,0.474366,4.051677,0.168051,0.058517,0.103627,-1.893947,14.661585,0.778436,0.30257,0.46692,3.522627,0.714158,0.266769,0.051813,-1.893947,14.661585,0.389218,0.151285,0.46692,3.522627,0.357079,0.133385,0.051813,-1.893947,14.661585,0.389218,0.151285,0.46692,3.522627,0.357079,0.133385,0.600937,good_actor,good_actor
0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,0.000056,-2.0282,27.867025,0.023324,0.002505,0.380574,5.350586,0.027063,0.009146,0.499353,-1.898652,19.991333,0.655878,0.535166,0.343013,4.150367,0.163019,0.057271,0.108808,-1.937158,15.543985,0.819124,0.301583,0.287749,3.606686,0.703984,0.260182,0.054404,-1.937158,15.543985,0.409562,0.150791,0.287749,3.606686,0.351992,0.130091,0.054404,-1.937158,15.543985,0.409562,0.150791,0.287749,3.606686,0.351992,0.130091,0.600937,good_actor,good_actor
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.376238,good_actor,good_actor
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000472,-0.429036,29.000225,0.014113,0.00242,1.223824,5.451512,0.023052,0.008998,0.523035,-0.320901,18.685304,0.603411,0.53258,1.201783,3.823305,0.133148,0.05823,0.222798,-0.601153,15.922782,0.592087,0.296132,1.092059,3.63444,0.588193,0.257675,0.111399,-0.601153,15.922782,0.296043,0.148066,1.092059,3.63444,0.294097,0.128837,0.111399,-0.601153,15.922782,0.296043,0.148066,1.092059,3.63444,0.294097,0.128837,0.618616,good_actor,good_actor
0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.386658,good_actor,good_actor
0.000002,0,0.000002,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,0.000598,0.36906,28.737529,0.012102,0.002438,1.52194,5.428235,0.021813,0.009032,0.52517,0.483056,18.716724,0.588395,0.533105,1.473749,3.811885,0.12771,0.058269,0.253886,0.214039,15.855893,0.529534,0.297672,1.374985,3.630504,0.558017,0.258116,0.126943,0.214039,15.855893,0.264767,0.148836,1.374985,3.630504,0.279008,0.129058,0.126943,0.214039,15.855893,0.264767,0.148836,1.374985,3.630504,0.279008,0.129058,0.294832,good_actor,good_actor
0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,0.000008,-1.965943,9.533168,0.002177,0.005045,-0.034227,3.314645,0.002014,0.013558,0.38833,-2.199132,6.93215,0.465792,0.554732,-0.34485,2.402679,0.068121,0.083136,0.046632,-0.379121,6.27401,0.146632,0.40006,0.740853,2.534424,0.107027,0.355853,0.023316,-0.379121,6.27401,0.073316,0.20003,0.740853,2.534424,0.053513,0.177926,0.023316,-0.379121,6.27401,0.073316,0.20003,0.740853,2.534424,0.053513,0.177926,0.600937,good_actor,good_actor
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000546,2.835289,29.696908,0.009026,0.00237,2.13021,5.512622,0.017933,0.008911,0.556999,3.056084,15.672359,0.593457,0.529598,2.104987,3.104294,0.095839,0.061169,0.414508,2.382995,15.872658,0.581142,0.290853,1.925006,3.604832,0.411762,0.25756,0.207254,2.382995,15.872658,0.290571,0.145427,1.925006,3.604832,0.205881,0.12878,0.207254,2.382995,15.872658,0.290571,0.145427,1.925006,3.604832,0.205881,0.12878,0.600937,good_actor,good_actor
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.376238,good_actor,good_actor
0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.386658,good_actor,good_actor
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000474,0.18164,29.522533,0.012921,0.002383,1.429358,5.497382,0.021617,0.008933,0.532414,0.227966,15.862786,0.601439,0.530052,1.347992,3.14005,0.12331,0.060999,0.259067,-0.143088,15.830689,0.599919,0.291869,1.216016,3.602376,0.537741,0.257842,0.129534,-0.143088,15.830689,0.299959,0.145935,1.216016,3.602376,0.268871,0.128921,0.129534,-0.143088,15.830689,0.299959,0.145935,1.216016,3.602376,0.268871,0.128921,0.600937,good_actor,good_actor
0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,0.000805,2.232827,29.522751,0.009304,0.002383,1.996958,5.49741,0.018759,0.008932,0.549858,2.375899,16.310864,0.591546,0.530319,1.939441,3.251989,0.101976,0.060502,0.378238,1.78634,15.894891,0.566797,0.292206,1.759568,3.613955,0.441022,0.257545,0.189119,1.78634,15.894891,0.283399,0.146103,1.759568,3.613955,0.220511,0.128772,0.189119,1.78634,15.894891,0.283399,0.146103,1.759568,3.613955,0.220511,0.128772,0.600937,good_actor,good_actor
0,0,0,0,0,?,?,0,0,?,?,0,0,0.016129,?,?,0.016129,0.016129,?,?,0,0,0.032258,?,?,0.032258,0.032258,?,?,0,0,0.016129,?,?,0.016129,0.016129,?,?,0,0,0.016129,?,?,0.016129,0.016129,?,?,0,0,0,?,?,0.000026,-2.183633,26.315085,0.025288,0.002611,0.224754,5.21015,0.027581,0.009366,0.485535,-2.155848,18.278197,0.66962,0.534616,0.174898,3.945439,0.171862,0.059269,0.088083,-2.154364,14.739571,0.869891,0.298263,0.145122,3.541645,0.739908,0.267155,0.044041,-2.154364,14.739571,0.434945,0.149132,0.145122,3.541645,0.369954,0.133578,0.044041,-2.154364,14.739571,0.434945,0.149132,0.145122,3.541645,0.369954,0.133578,0.600937,good_actor,good_actor
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000359,2.945818,29.609843,0.008823,0.002377,2.154379,5.505023,0.017946,0.008922,0.550642,2.978109,15.987365,0.593624,0.529959,2.099691,3.177098,0.09808,0.060836,0.378238,2.394339,15.886593,0.579191,0.291542,1.921396,3.609921,0.41989,0.25754,0.189119,2.394339,15.886593,0.289595,0.145771,1.921396,3.609921,0.209945,0.12877,0.189119,2.394339,15.886593,0.289595,0.145771,1.921396,3.609921,0.209945,0.12877,0.600937,good_actor,good_actor
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.003462,1.807423,29.174426,0.009627,0.002408,1.905169,5.466857,0.019457,0.008976,0.542135,1.665336,17.774797,0.57712,0.531796,1.743755,3.598741,0.114304,0.059069,0.34715,1.353471,15.929166,0.509601,0.294887,1.690863,3.630524,0.486019,0.257561,0.173575,1.353471,15.929166,0.2548,0.147443,1.690863,3.630524,0.243009,0.12878,0.173575,1.353471,15.929166,0.2548,0.147443,1.690863,3.630524,0.243009,0.12878,0.80198,bad_actor,bad_actor
0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,0.000015,-2.010038,28.911881,0.032678,0.002426,-0.38127,5.443665,0.026639,0.00901,0.504575,-1.939275,18.086609,0.705099,0.532457,-0.294539,3.661767,0.156847,0.058828,0.088083,-1.907738,15.855155,1.031376,0.296381,-0.397431,3.625173,0.691731,0.258035,0.044041,-1.907738,15.855155,0.515688,0.148191,-0.397431,3.625173,0.345866,0.129017,0.044041,-1.907738,15.855155,0.515688,0.148191,-0.397431,3.625173,0.345866,0.129017,-0.600937,good_actor,bad_actor
0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,0.000033,41.465392,26.72735,0.00243,0.002582,6.183781,5.246964,0.007554,0.009304,0.512616,23.693134,18.072629,0.541478,0.535573,4.113493,3.780224,0.034588,0.059187,0.279793,26.43656,15.174525,0.384833,0.308364,4.605311,3.575823,0.15396,0.262536,0.139896,26.43656,15.174525,0.192416,0.154182,4.605311,3.575823,0.07698,0.131268,0.139896,26.43656,15.174525,0.192416,0.154182,4.605311,3.575823,0.07698,0.131268,0.719236,bad_actor,bad_actor
0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,0.000001,-1.546095,8.72479,0.001476,0.005261,0.106493,3.195268,0.001318,0.013939,0.383317,0.048861,7.325247,0.4882,0.562178,-1.007048,2.667049,0.063837,0.08098,0.025907,-0.650944,6.339427,0.17962,0.447887,0.571697,2.574886,0.149117,0.346529,0.012953,-0.650944,6.339427,0.08981,0.223943,0.571697,2.574886,0.074559,0.173264,0.012953,-0.650944,6.339427,0.08981,0.223943,0.571697,2.574886,0.074559,0.173264,-0.600937,good_actor,bad_actor
0.000002,0.000005,0.000044,0,0,1.07362,4.30878,0.007597,0.004454,1.284508,2.034997,0.00924,0.006837,0.163306,-2.001033,-0.543138,0.19262,0.168294,0.064364,0.606393,0.026318,0.029908,0.193548,-1.760931,-0.828533,0.304147,0.212524,-0.175819,0.471875,0.090968,0.11061,0.096774,-1.760931,-0.828533,0.152074,0.106262,-0.175819,0.471875,0.045484,0.055305,0.096774,-1.760931,-0.828533,0.152074,0.106262,-0.175819,0.471875,0.045484,0.055305,0,?,?,0.000704,2.780266,28.825978,0.008488,0.002433,2.142114,5.436118,0.018477,0.00902,0.545198,2.810819,19.062467,0.571367,0.533077,2.037916,3.91036,0.107034,0.057926,0.388601,2.677832,15.89426,0.511113,0.297225,2.048567,3.634863,0.439142,0.257897,0.194301,2.677832,15.89426,0.255556,0.148612,2.048567,3.634863,0.219571,0.128949,0.194301,2.677832,15.89426,0.255556,0.148612,2.048567,3.634863,0.219571,0.128949,0.80198,bad_actor,bad_actor
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000633,0.677677,29.174426,0.011512,0.002408,1.599249,5.466857,0.021032,0.008976,0.528767,0.644071,17.774797,0.591925,0.531796,1.521699,3.598741,0.124104,0.059069,0.253886,0.338002,15.929166,0.547461,0.294887,1.413981,3.630524,0.540787,0.257561,0.126943,0.338002,15.929166,0.273731,0.147443,1.413981,3.630524,0.270394,0.12878,0.126943,0.338002,15.929166,0.273731,0.147443,1.413981,3.630524,0.270394,0.12878,-0.618616,good_actor,bad_actor
0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,0.000127,42.205988,26.903135,0.002391,0.002571,6.238153,5.263085,0.007491,0.009279,0.514667,21.326687,18.167894,0.540225,0.535394,3.687373,3.789681,0.035532,0.059068,0.284974,24.183728,15.232704,0.379626,0.307339,4.207787,3.580588,0.157451,0.262157,0.142487,24.183728,15.232704,0.189813,0.153669,4.207787,3.580588,0.078726,0.131079,0.142487,24.183728,15.232704,0.189813,0.153669,4.207787,3.580588,0.078726,0.131079,0.719236,bad_actor,bad_actor
0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,0.000004,0.099654,10.156155,0.001445,0.00486,0.475005,3.404418,0.001139,0.013292,0.390688,0.389266,7.888353,0.49492,0.554673,-1.362482,2.694233,0.060846,0.079908,0.041451,-0.070338,6.54424,0.185953,0.393433,0.519351,2.566769,0.118307,0.351202,0.020725,-0.070338,6.54424,0.092976,0.196716,0.519351,2.566769,0.059154,0.175601,0.020725,-0.070338,6.54424,0.092976,0.196716,0.519351,2.566769,0.059154,0.175601,-0.600937,good_actor,bad_actor
0.010417,0,0.020833,0,0,0,0,0,0,0,0,0,0,0.193548,0,0,0.193548,0.193548,0,0,0,0,0.387097,0,0,0.387097,0.387097,0,0,0,0,0.193548,0,0,0.193548,0.193548,0,0,0,0,0.193548,0,0,0.193548,0.193548,0,0,0,0,0,?,?,0.000002,-2.076085,28.650583,0.028212,0.002445,0.044839,5.420533,0.025961,0.009043,0.505236,-1.80966,19.468918,0.687261,0.53362,0.007214,3.999338,0.147668,0.057605,0.108808,-1.723763,15.85813,0.971032,0.298329,-0.187215,3.633543,0.64547,0.258149,0.054404,-1.723763,15.85813,0.485516,0.149165,-0.187215,3.633543,0.322735,0.129074,0.054404,-1.723763,15.85813,0.485516,0.149165,-0.187215,3.633543,0.322735,0.129074,0.80198,bad_actor,bad_actor
0.000017,0,0.000017,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,0.001124,4.348941,29.609843,0.007535,0.002377,2.448232,5.505023,0.016707,0.008922,0.561863,4.137451,15.987365,0.582772,0.529959,2.318188,3.177098,0.093413,0.060836,0.450777,3.485466,15.886593,0.53203,0.291542,2.162225,3.609921,0.39965,0.25754,0.225389,3.485466,15.886593,0.266015,0.145771,2.162225,3.609921,0.199825,0.12877,0.225389,3.485466,15.886593,0.266015,0.145771,2.162225,3.609921,0.199825,0.12877,-0.600937,good_actor,bad_actor
0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,0.000523,-1.857654,29.261467,0.022808,0.002401,0.461333,5.474506,0.025869,0.008965,0.513298,-1.527081,17.394833,0.648816,0.531428,0.324859,3.508023,0.155108,0.059428,0.134715,-1.758749,15.88327,0.814431,0.294045,0.327697,3.619247,0.653631,0.257725,0.067358,-1.758749,15.88327,0.407216,0.147022,0.327697,3.619247,0.326815,0.128863,0.067358,-1.758749,15.88327,0.407216,0.147022,0.327697,3.619247,0.326815,0.128863,-0.600937,good_actor,bad_actor
0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,0.000077,-1.280942,28.651529,0.018009,0.002446,0.868668,5.420654,0.025038,0.009043,0.510582,-1.182207,19.56336,0.629032,0.533673,0.868706,4.018544,0.145712,0.057528,0.150259,-1.282617,15.904022,0.70829,0.298579,0.793004,3.641844,0.62831,0.257935,0.07513,-1.282617,15.904022,0.354145,0.149289,0.793004,3.641844,0.314155,0.128967,0.07513,-1.282617,15.904022,0.354145,0.149289,0.793004,3.641844,0.314155,0.128967,-0.714686,good_actor,bad_actor
0.000019,0,0.000019,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,0.00014,0.312769,27.773743,0.012022,0.002505,1.512665,5.341969,0.022219,0.009159,0.509908,0.21212,17.637269,0.594185,0.53365,1.448401,3.620211,0.135029,0.059463,0.196891,0.155658,15.241938,0.557593,0.299337,1.417738,3.560406,0.574692,0.261914,0.098446,0.155658,15.241938,0.278796,0.149668,1.417738,3.560406,0.287346,0.130957,0.098446,0.155658,15.241938,0.278796,0.149668,1.417738,3.560406,0.287346,0.130957,-0.600937,good_actor,bad_actor
0.000522,0.000722,0.001565,0,0,?,2.878494,0.008318,0.005452,1.732051,1.729331,0.014406,0.007501,0.130645,?,-0.719013,0.159677,0.175207,1.732051,0.206372,0.050285,0.030624,0.064516,?,-1.007361,0.172043,0.235732,1.732051,0.022873,0.186242,0.115848,0.032258,?,-1.007361,0.086022,0.117866,1.732051,0.022873,0.093121,0.057924,0.032258,?,-1.007361,0.086022,0.117866,1.732051,0.022873,0.093121,0.057924,0,?,?,0.00075,2.96761,28.913064,0.008362,0.002427,2.183052,5.443815,0.018253,0.009009,0.547518,2.993908,18.579599,0.570728,0.532682,2.076907,3.790314,0.105716,0.058356,0.398964,2.861613,15.880157,0.507706,0.296519,2.089334,3.629564,0.433968,0.257919,0.199482,2.861613,15.880157,0.253853,0.148259,2.089334,3.629564,0.216984,0.128959,0.199482,2.861613,15.880157,0.253853,0.148259,2.089334,3.629564,0.216984,0.128959,0.80198,bad_actor,bad_actor
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.000461,-0.489524,28.99889,0.014484,0.002419,1.207267,5.451342,0.023119,0.008999,0.522327,-0.39143,17.657922,0.600349,0.53207,1.156735,3.557133,0.136851,0.059231,0.217617,-0.621858,15.811523,0.588987,0.295542,1.07039,3.61426,0.59567,0.25819,0.108808,-0.621858,15.811523,0.294493,0.147771,1.07039,3.61426,0.297835,0.129095,0.108808,-0.621858,15.811523,0.294493,0.147771,1.07039,3.61426,0.297835,0.129095,0.60136,good_actor,good_actor
