post_id,author,guid,title,url,date,content,domain,author_guid
97a74184-9f98-3d18-8834-ea2401b62f34,hcristosap,97a74184-9f98-3d18-8834-ea2401b62f34,RT @annakiril3: Smart TV vs. Media Streamerhttps://t.co/axBC7SlhsE,http://twitter.com/hcristosap/statuses/745928191752212481,2016-06-23 10:35:14,RT @annakiril3: <em>Smart</em> <em>TV</em> vs. Media Streamerhttps://t.co/axBC7SlhsE,Microblog,d750272086c5307f830add1d5343ef0f
fe564048-7805-38f8-aa81-d82f1d37d5f0,inezporte,fe564048-7805-38f8-aa81-d82f1d37d5f0,RT @annakiril3: Smart TV vs. Media Streamerhttps://t.co/axBC7SlhsE,http://twitter.com/inezporte/statuses/745923849808642048,2016-06-23 10:17:59,RT @annakiril3: <em>Smart</em> <em>TV</em> vs. Media Streamerhttps://t.co/axBC7SlhsE,Microblog,2562210d55d839d8947918303e926274
b76a29a7-92a5-3901-b4a8-5117c5781252,marks_amrcaei,b76a29a7-92a5-3901-b4a8-5117c5781252,RT @annakiril3: Smart TV vs. Media Streamerhttps://t.co/axBC7SlhsE,http://twitter.com/marks_amrcaei/statuses/745932698347278336,2016-06-23 10:53:08,RT @annakiril3: <em>Smart</em> <em>TV</em> vs. Media Streamerhttps://t.co/axBC7SlhsE,Microblog,2dd2b1a9dee731e494adff126a63ecf2
0c3d08fc-50e3-37fc-9d3b-7c1308fa7e7d,TypeTypepeTy,0c3d08fc-50e3-37fc-9d3b-7c1308fa7e7d,RT @annakiril3: Smart TV vs. Media Streamerhttps://t.co/axBC7SlhsE,http://twitter.com/TypeTypepeTy/statuses/745925327340314624,2016-06-23 10:23:51,RT @annakiril3: <em>Smart</em> <em>TV</em> vs. Media Streamerhttps://t.co/axBC7SlhsE,Microblog,26b0f01921673841bd4f0e8be8730ef0
bd443460-9a83-34fd-9e4b-05825918b26f,aliboordea,bd443460-9a83-34fd-9e4b-05825918b26f,RT @annakiril3: Smart TV vs. Media Streamerhttps://t.co/axBC7SlhsE,http://twitter.com/aliboordea/statuses/745932039183024128,2016-06-23 10:50:31,RT @annakiril3: <em>Smart</em> <em>TV</em> vs. Media Streamerhttps://t.co/axBC7SlhsE,Microblog,4ef633e7d01b3395a35d5ab455de78f6
02b1886f-8bee-3288-8220-462d776f64d0,RichaardFidnnal,02b1886f-8bee-3288-8220-462d776f64d0,RT @annakiril3: Smart TV vs. Media Streamerhttps://t.co/axBC7SlhsE,http://twitter.com/RichaardFidnnal/statuses/745928518551412736,2016-06-23 10:36:32,RT @annakiril3: <em>Smart</em> <em>TV</em> vs. Media Streamerhttps://t.co/axBC7SlhsE,Microblog,f04277a083523a4aa64661f2980c18dd
acb4b372-189b-3771-87ba-0c95303c796a,vichaelHiles,acb4b372-189b-3771-87ba-0c95303c796a,RT @annakiril3: Smart TV vs. Media Streamerhttps://t.co/axBC7SlhsE,http://twitter.com/vichaelHiles/statuses/745930580181803008,2016-06-23 10:44:43,RT @annakiril3: <em>Smart</em> <em>TV</em> vs. Media Streamerhttps://t.co/axBC7SlhsE,Microblog,0e9b43f6024939c48710647ed6b2f87b
caec93c5-bfa7-301a-85c0-e9536a53f77a,uvakr82,caec93c5-bfa7-301a-85c0-e9536a53f77a,RT @annakiril3: Smart TV vs. Media Streamerhttps://t.co/axBC7SlhsE,http://twitter.com/uvakr82/statuses/745931476932399105,2016-06-23 10:48:17,RT @annakiril3: <em>Smart</em> <em>TV</em> vs. Media Streamerhttps://t.co/axBC7SlhsE,Microblog,8ad93d7880203199894febd56a34ccc4
e17bf901-213c-3e43-b356-041b7bb18237,BonjoviMan1ule2,e17bf901-213c-3e43-b356-041b7bb18237,RT @annakiril3: Smart TV vs. Media Streamerhttps://t.co/axBC7SlhsE,http://twitter.com/BonjoviMan1ule2/statuses/745931352223158272,2016-06-23 10:47:47,RT @annakiril3: <em>Smart</em> <em>TV</em> vs. Media Streamerhttps://t.co/axBC7SlhsE,Microblog,ebd78788d328338094c779c7ad1f3db2
3ebb2de8-d106-3eb7-a7cc-8e288a0633f5,jekongai,3ebb2de8-d106-3eb7-a7cc-8e288a0633f5,RT @annakiril3: Smart TV vs. Media Streamerhttps://t.co/axBC7SlhsE,http://twitter.com/jekongai/statuses/745927666117787648,2016-06-23 10:33:08,RT @annakiril3: <em>Smart</em> <em>TV</em> vs. Media Streamerhttps://t.co/axBC7SlhsE,Microblog,4b61e20fd5a435dba630867e75739f51
bc928919-758b-36d5-9c62-76613bfba3c4,tsenilkin2,bc928919-758b-36d5-9c62-76613bfba3c4,RT @annakiril3: Smart TV vs. Media Streamerhttps://t.co/axBC7SlhsE,http://twitter.com/tsenilkin2/statuses/745930968058499072,2016-06-23 10:46:16,RT @annakiril3: <em>Smart</em> <em>TV</em> vs. Media Streamerhttps://t.co/axBC7SlhsE,Microblog,7708aae5982d37a89e74bbf81cb96753
d2d3ca7f-34dc-308c-9deb-76803f6ce0f1,officialkheeyz,d2d3ca7f-34dc-308c-9deb-76803f6ce0f1,RT @annakiril3: Smart TV vs. Media Streamerhttps://t.co/axBC7SlhsE,http://twitter.com/officialkheeyz/statuses/745931112401215489,2016-06-23 10:46:50,RT @annakiril3: <em>Smart</em> <em>TV</em> vs. Media Streamerhttps://t.co/axBC7SlhsE,Microblog,174c2ccc0745382d9da5496ba87c23cd
