No,Instance_number,author_guid,account_age,author_type,average_post_lenth,average_posts_per_day_total,average_user_mentions,boosting_timeslots_count,friends_followers_ratio,number_followers,number_friends,number_of_posts,number_pointers,Cluster
160,3629,a9782debf7d13b7ca5267376c4c3a17a,1226,?,9,153,0,?,0.006135,163,1,188496,?,cluster2
161,46,021a9dc7e98a38abb52230aef44724e7,529,?,13,123,0,?,0.006112,6545,40,65084,?,cluster2
162,4109,c22bdb2e3871392fb90d343ca18fd14d,2656,?,9,8,0,0,0.005027,10544,53,22803,1,cluster2
163,3772,b14f653450a931508f26871b967900e0,1216,?,13,1,0,?,0,33,0,2103,?,cluster2
164,4522,d4314004daf135f29a31b2668ed04840,164,?,9,14,0,?,0,2,0,2381,?,cluster2
165,846,26f8d3f9c24e3000be09bc0b81dcbea0,52,?,18.6,188,0,0,0,28,0,9812,4,cluster2
166,4409,cf164decd6533983ba4eaa6b5a1cb20b,94,?,0,200,0,?,0,66,0,18800,?,cluster2
167,1030,2f0485496a4d3f42b7858d8fa50d9a71,?,?,32,?,0,?,0,?,?,?,?,cluster2
168,1512,46ac4c2129a13759bddd9066fdd43d87,?,?,32,?,0,?,0,?,?,?,?,cluster2
169,5335,fb7333d4decf3d069a88fa4dc8a33696,?,?,31,?,0,?,0,?,?,?,?,cluster2
170,2760,7ee3727243df3b51a0a953872d82ed4f,?,?,29,?,0,?,0,?,?,?,?,cluster2
171,104,049e6489b7c8301e8ecd5c111c2582a2,?,?,28,?,0,?,0,?,?,?,?,cluster2
172,200,09f79711568e3806b481a310ad5952ea,?,?,28,?,0,?,0,?,?,?,?,cluster2
173,1594,4aa66afb0f8532beb8b61d28cf142d3c,?,?,28,?,0,?,0,?,?,?,?,cluster2
174,3541,a597b8b6cbda36bda9ccb9df6c110bc1,?,?,28,?,0,?,0,?,?,?,?,cluster2
175,3731,aefd4a50c599349186cd3690e771ec9e,?,?,28,?,0,?,0,?,?,?,?,cluster2
176,4680,dc20225d9e6035fa94329eea7dcaaadb,?,?,28,?,0,?,0,?,?,?,?,cluster2
177,4687,dc6f9e7b7fca3ee1ba58b6b84248f1a9,?,?,28,?,0,?,0,?,?,?,?,cluster2
178,365,12172dbd4aa53ddb9a169311ce285765,?,?,27,?,0,?,0,?,?,?,?,cluster2
179,2253,688cfb4efe86308e86aa01651eae9d10,?,?,27,?,0,?,0,?,?,?,?,cluster2
180,4340,cc4d2aefe3db3f31b09701f4cef47d5b,?,?,27,?,0,?,0,?,?,?,?,cluster2
181,4683,dc4a361d31733c2180f0f7713fe8b54d,?,?,27,?,0,?,0,?,?,?,?,cluster2
182,4690,dc9f441bb52e300e9774c347993143db,?,?,27,?,0,?,0,?,?,?,?,cluster2
183,4742,df25f4b33ad43d54a3077843a5cce71d,?,?,27,?,0,?,0,?,?,?,?,cluster2
184,485,166bb7d38e273fda914b9c46165dfe71,?,?,26,?,0,?,0,?,?,?,?,cluster2
185,1075,315fe929e31931bca87eb53d35b47919,?,?,26,?,0,?,0,?,?,?,?,cluster2
186,1605,4b29c100f02835748a4c97d8cc2062ec,?,?,26,?,0,?,0,?,?,?,?,cluster2
187,3931,b7e6c3698a2036dc94ea8d69accc4b30,?,?,26,?,0,?,0,?,?,?,?,cluster2
188,4495,d3084a58c0c2389aabd3d546ea603412,?,?,26,?,0,?,0,?,?,?,?,cluster2
189,4566,d66af32cac133ce7ae01b3b502aefbc9,?,?,26,?,0,?,0,?,?,?,?,cluster2
190,5248,f7545bb3c837349f94d36d26102c0d16,?,?,26,?,0,?,0,?,?,?,?,cluster2
191,765,2346f8d25ab63a5c8b1afdc1dfeb92d3,?,?,25,?,0,?,0,?,?,?,?,cluster2
192,2698,7be092de77d33cf19815b3bb30585f8b,?,?,25,?,0,?,0,?,?,?,?,cluster2
193,3159,91d56325005433e1abd890f19e56393f,?,?,25,?,0,?,0,?,?,?,?,cluster2
194,3696,ad11267c5a7b32a49e4de3901ad40c45,?,?,25,?,0,?,0,?,?,?,?,cluster2
195,4270,c9223a724d9f3b1fb330c4ac6fa96a48,?,?,25,?,0,?,0,?,?,?,?,cluster2
196,4695,dccc6003dea33712a6253d48f388d9d7,?,?,25,?,0,?,0,?,?,?,?,cluster2
197,362,11fd392790f53bb4aef05132e9b2703c,?,?,24,?,0,?,0,?,?,?,?,cluster2
198,1151,349296533f1e39a99f73998b7f30a8ed,?,?,24,?,0,?,0,?,?,?,?,cluster2
199,1678,4ef7d8b0a711345f805bec565af12dc8,?,?,24,?,0,?,0,?,?,?,?,cluster2
200,2089,61d1a826c4ab38ada0b42115267bb359,?,?,24,?,0,?,0,?,?,?,?,cluster2
201,3490,a3c81bd586c639a0b2099d41303dd977,?,?,24,?,0,?,0,?,?,?,?,cluster2
202,5031,eccaab7a7351349f9983d5380f985ca2,?,?,24,?,0,?,0,?,?,?,?,cluster2
203,669,1f203782832d39b49400961e610903ac,?,?,23,?,0,?,0,?,?,?,?,cluster2
204,1237,387e6164357d36868ea7932b77564c9b,?,?,23,?,0,?,0,?,?,?,?,cluster2
205,1307,3bc14dba3fdc3742a721e3e13f3ce816,?,?,23,?,0,?,0,?,?,?,?,cluster2
206,1454,43d9d7ae3c74311580000d0dd3415a04,?,?,23,?,0,?,0,?,?,?,?,cluster2
207,1684,4f36c31c772f324cb81451884b8abeef,?,?,23,?,0,?,0,?,?,?,?,cluster2
208,1862,57c8dc1ac1883f83a39527e9b54ab39b,?,?,23,?,0,?,0,?,?,?,?,cluster2
