No,Instance_number,author_guid,account_age,author_type,average_post_lenth,average_posts_per_day_total,average_user_mentions,boosting_timeslots_count,friends_followers_ratio,number_followers,number_friends,number_of_posts,number_pointers,Cluster
310,2885,84bbd7734d9f3ef6accb8951d9c6c26c,?,?,16,?,0,?,0,?,?,?,?,cluster2
311,3278,97bf77f0f9ad3bd6b2a749a6d73a6054,?,?,16,?,0,?,0,?,?,?,?,cluster2
312,3422,9f54c0da790c3f19b8f4e46411091b30,?,?,16,?,0,?,0,?,?,?,?,cluster2
313,3429,9fbf5b3bf2993afba30cab7f659404d2,?,?,16,?,0,?,0,?,?,?,?,cluster2
314,3549,a6034c59ee1c36718757a9fe420885e1,?,?,16,?,0,?,0,?,?,?,?,cluster2
315,3825,b3d44bbd6da23522bb4e2a41136200fb,?,?,16,?,0,?,0,?,?,?,?,cluster2
316,4251,c83812b4c9f13508bbcd5c4d7bf3d288,?,?,16,?,0,?,0,?,?,?,?,cluster2
317,4580,d748ac6777993eb69633d25db6ea4d12,?,?,16,?,0,?,0,?,?,?,?,cluster2
318,4595,d7dcf617978f3382b91323d6937080d2,?,?,16,?,0,?,0,?,?,?,?,cluster2
319,5114,f1301cb1fe1a3249843cb07f275b6c3f,?,?,16,?,0,?,0,?,?,?,?,cluster2
320,513,177dc18c767938119953bbebba995153,?,?,15.5,?,0,?,0,?,?,?,?,cluster2
321,165,086b0446a5753234a6f416e795ea9abb,?,?,15,?,0,?,0,?,?,?,?,cluster2
322,510,176f5bae390f3ad5bb17e7a447f815ed,?,?,15,?,0,?,0,?,?,?,?,cluster2
323,663,1ef901e182ce3a7382059cb3c043773d,?,?,15,?,0,?,0,?,?,?,?,cluster2
324,798,2486dfcb23053067b83b947ea8171a15,?,?,15,?,0,?,0,?,?,?,?,cluster2
325,1268,39ca7594e8c03b0bb4bfcc21e3cc5bfb,?,?,15,?,0,?,0,?,?,?,?,cluster2
326,1635,4ccbe4cb28bf3911b5b8d40de4005a2a,?,?,15,?,0,?,0,?,?,?,?,cluster2
327,2394,6ee6596c00e43feca22a3ebc0cec58eb,?,?,15,?,0,?,0,?,?,?,?,cluster2
328,2752,7e7819b33b5e34f4bab982013585026a,?,?,15,?,0,?,0,?,?,?,?,cluster2
329,3262,96e967ad80c83ac4a6bc26446b5d4add,?,?,15,?,0,?,0,?,?,?,?,cluster2
330,3387,9d9b0be4081d36fbbb1f657bad5b6a73,?,?,15,?,0,?,0,?,?,?,?,cluster2
331,4066,bf9f0d7831973d4aa7981321a79a128b,?,?,15,?,0,?,0,?,?,?,?,cluster2
332,4200,c5aa61e4c8783094b808baa398ea4746,?,?,15,?,0,?,0,?,?,?,?,cluster2
333,4351,cc960fb42c003216b09bc4e5df242bdb,?,?,15,?,0,?,0,?,?,?,?,cluster2
334,4461,d153b923c7f43b25b71ada07da6b1830,?,?,15,?,0,?,0,?,?,?,?,cluster2
335,4711,de054ad1796332c686c8096d1e78f3c9,?,?,15,?,0,?,0,?,?,?,?,cluster2
336,4958,e9d737f4a744362cb3466acf542ebe7a,?,?,15,?,0,?,0,?,?,?,?,cluster2
337,491,16a999ed1f9a38c3aae317801e885910,?,?,14,?,0,?,0,?,?,?,?,cluster2
338,791,24106da8ddc3362a88c3ecdb0a1177fd,?,?,14,?,0,?,0,?,?,?,?,cluster2
339,864,27adfc1fe8853a4b8404c0af3bf0dedd,?,?,14,?,0,?,0,?,?,?,?,cluster2
340,1198,36b6e5b8845d31c4bf2a001997ed000f,?,?,14,?,0,?,0,?,?,?,?,cluster2
341,1741,51d6cc50353f37a9926f5aba81bf7072,?,?,14,?,0,?,0,?,?,?,?,cluster2
342,1973,5cacf2be3a2e3e8096c073cbd685dbbc,?,?,14,?,0,?,0,?,?,?,?,cluster2
343,2710,7c6c7756c3c53f649a1cc6969ee54290,?,?,14,?,0,?,0,?,?,?,?,cluster2
344,4320,cb23929257993130bbd2e714b25db0a9,?,?,14,?,0,?,0,?,?,?,?,cluster2
345,4897,e6b4c37bb9373b5798941a3cb0bfa3be,?,?,14,?,0,?,0,?,?,?,?,cluster2
346,381,1276f438a0633bc0a5670a8f69684f49,?,?,13,?,0,?,0,?,?,?,?,cluster2
347,719,2139aa9f7e8a3c7fb7c6cbcdfa4f28e7,?,?,13,?,0,?,0,?,?,?,?,cluster2
348,747,225a20bb8e7a34db9cddc73f61624456,?,?,13,?,0,?,0,?,?,?,?,cluster2
349,934,2ae137cdeb9c3c0f8bfb8effadae4237,?,?,13,?,0,?,0,?,?,?,?,cluster2
350,985,2d046ade26a131389c3f6387f380fdc0,?,?,13,?,0,?,0,?,?,?,?,cluster2
351,1041,2f7adc84be1035b6b703e62bd6f25c17,?,?,13,?,0,?,0,?,?,?,?,cluster2
352,1540,47f144df93a539bc95d471b377d497a4,?,?,13,?,0,?,0,?,?,?,?,cluster2
353,1700,4fc603e0057b31de8dac6705e69ba650,?,?,13,?,0,?,0,?,?,?,?,cluster2
354,2113,62d0bfc882263e9f99437cec23dad462,?,?,13,?,0,?,0,?,?,?,?,cluster2
355,2397,6f0c2c3886f7304abac766b56cc3c318,?,?,13,?,0,?,0,?,?,?,?,cluster2
356,3027,8b89bbb4b630378b8d2b5010c548e99d,?,?,13,?,0,?,0,?,?,?,?,cluster2
357,3395,9e2656aad09d3c66a6c632d10452cace,?,?,13,?,0,?,0,?,?,?,?,cluster2
358,3780,b1adf7cc5ab63d1dbc01ea6fc3c41697,?,?,13,?,0,?,0,?,?,?,?,cluster2
359,4018,bd5673d7e35335bba21970eb3e6a81bc,?,?,13,?,0,?,0,?,?,?,?,cluster2
360,4421,cfde9e8f17653647918d4925c116cb92,?,?,13,?,0,?,0,?,?,?,?,cluster2
361,4422,cfe524829b903b66b95313fc8e573683,?,?,13,?,0,?,0,?,?,?,?,cluster2
362,4666,dbcf7498c43139b4a4d75bfed99d8f4f,?,?,13,?,0,?,0,?,?,?,?,cluster2
363,5067,eec5c31b2826341abc9a271d2d08fb7b,?,?,13,?,0,?,0,?,?,?,?,cluster2
364,268,0d342cc4f4063c8f8d2b2a5720580f7c,?,?,12.333333,?,0,?,0,?,?,?,?,cluster2
365,36,01be43231f4930aaba0d54a9d6820a55,?,?,12,?,0,?,0,?,?,?,?,cluster2
366,731,21b1f1a031ce3bfba91204d47764ba70,?,?,12,?,0,?,0,?,?,?,?,cluster2
367,794,24416324c2733c5596e9ccaa116c243c,?,?,12,?,0,?,0,?,?,?,?,cluster2
368,973,2ca582b744823230928f64b6fff7a468,?,?,12,?,0,?,0,?,?,?,?,cluster2
369,1792,54318caa677837cc80431b068486586f,?,?,12,?,0,?,0,?,?,?,?,cluster2
370,1917,59b0c047a8b9347bbad67c75b711169f,?,?,12,?,0,?,0,?,?,?,?,cluster2
371,2002,5dc0d2dfddb533e199bc69e9318987d2,?,?,12,?,0,?,0,?,?,?,?,cluster2
372,2028,5ef2c449999c3d3da00842584216ef2f,?,?,12,?,0,?,0,?,?,?,?,cluster2
373,2388,6e540c8809a93b919ee34a7805e93fa9,?,?,12,?,0,?,0,?,?,?,?,cluster2
374,3152,91c1aeb428f73bf4ac0eb1cbfdc18976,?,?,12,?,0,?,0,?,?,?,?,cluster2
375,3232,95a25ca8520439b1b57ec0e58bd2be22,?,?,12,?,0,?,0,?,?,?,?,cluster2
376,3511,a4850ddddfd7301c9ed9c5d3628b72ab,?,?,12,?,0,?,0,?,?,?,?,cluster2
377,3554,a6580f90223e3a43b194eb398a897d54,?,?,12,?,0,?,0,?,?,?,?,cluster2
378,3564,a6bfdf5615b83713aa68f971750bef90,?,?,12,?,0,?,0,?,?,?,?,cluster2
379,4210,c654b5c925d4370aa2b34296c304a347,?,?,12,?,0,?,0,?,?,?,?,cluster2
380,4297,ca31df7eaa4a34399c76f206f67c94bc,?,?,12,?,0,?,0,?,?,?,?,cluster2
381,4637,da1d33ce7efc3f6488882083f4a32c38,?,?,12,?,0,?,0,?,?,?,?,cluster2
382,1505,465c0ac8a2033778bf7dcde726c87ac3,?,?,11.461538,?,0,?,0,?,?,?,?,cluster2
383,62,02e60cf1775c3a9ebbc96cec2b578eec,?,?,11,?,0,?,0,?,?,?,?,cluster2
384,875,2819ffa29e2338fe9af722fb17810aa4,?,?,11,?,0,?,0,?,?,?,?,cluster2
385,1093,32316ce4ad22378fbd7856eaca412ce1,?,?,11,?,0,?,0,?,?,?,?,cluster2
386,1604,4b1dd4c9830b3df1a3aade7f2b9f53af,?,?,11,?,0,?,0,?,?,?,?,cluster2
387,1962,5c3230cb24a433a5b15cb7671fac95f0,?,?,11,?,0,?,0,?,?,?,?,cluster2
388,2655,7a0ecb388dc235edaa9a8ea182177c04,?,?,11,?,0,?,0,?,?,?,?,cluster2
389,2863,83931f9520b13e3999f07acb7f0ec536,?,?,11,?,0,?,0,?,?,?,?,cluster2
390,2985,89924993666e306d9df608451df59687,?,?,11,?,0,?,0,?,?,?,?,cluster2
391,3540,a58e084eac5a3b2c9c56d505a4467e45,?,?,11,?,0,?,0,?,?,?,?,cluster2
392,3690,acb4f883031c3b639f49556e81ec1dcd,?,?,11,?,0,?,0,?,?,?,?,cluster2
393,3972,ba5dd4266421339e80c6ea911b17ff84,?,?,11,?,0,?,0,?,?,?,?,cluster2
394,4211,c662e3c0a4193684bdfba1d478415ac4,?,?,11,?,0,?,0,?,?,?,?,cluster2
395,4406,cee653fefa953d21825cd1a3cf642c23,?,?,11,?,0,?,0,?,?,?,?,cluster2
396,4589,d7a9201cc80a3052a5eafa87cac36440,?,?,11,?,0,?,0,?,?,?,?,cluster2
397,4927,e82d96ffc3ed3d97bfb7a2809fb09e9f,?,?,11,?,0,?,0,?,?,?,?,cluster2
398,5050,ee09c03d501331739fba50a33154c621,?,?,11,?,0,?,0,?,?,?,?,cluster2
399,5071,eef6f6dab0ef3f9ea8ea212193957cf3,?,?,11,?,0,?,0,?,?,?,?,cluster2
400,5130,f1dd2570ee053d16a85bf27b8258463c,?,?,11,?,0,?,0,?,?,?,?,cluster2
401,5296,f9bb1faf72023408b1fc281c8fc89b2f,?,?,11,?,0,?,0,?,?,?,?,cluster2
402,5407,ffaa03f642e83a1cb476b5cdc4727ffa,?,?,11,?,0,?,0,?,?,?,?,cluster2
403,163,083807a8b62c31fab9d3bec353e803fd,?,?,10,?,0,?,0,?,?,?,?,cluster2
404,585,1aa8f87ddc263e5caab58be06bdbfab8,?,?,10,?,0,?,0,?,?,?,?,cluster2
405,1122,33550babfecc37ae9a502da374a59ae9,?,?,10,?,0,?,0,?,?,?,?,cluster2
406,1192,363c9e794b3637cabb0e8909fff19311,?,?,10,?,0,?,0,?,?,?,?,cluster2
407,1232,384be3c2ef39324a9f84cf15a3a222dd,?,?,10,?,0,?,0,?,?,?,?,cluster2
408,1493,45882f955ffd3bb7b79d0edffefea5cb,?,?,10,?,0,?,0,?,?,?,?,cluster2
409,1571,4998132fc9e33fcd97f0df89afc3bd17,?,?,10,?,0,?,0,?,?,?,?,cluster2
410,2247,67ee2df24e0e39b6b43316ef58c73897,?,?,10,?,0,?,0,?,?,?,?,cluster2
411,2389,6eae151602a33310b014e3cc2415a898,?,?,10,?,0,?,0,?,?,?,?,cluster2
412,2486,72eb8defb85332f3921e37911207f993,?,?,10,?,0,?,0,?,?,?,?,cluster2
413,2654,7a058ca486be3d648fae3569182b2108,?,?,10,?,0,?,0,?,?,?,?,cluster2
414,3097,8ebd394bd96e3b60b5d77db8cdd8e3ed,?,?,10,?,0,?,0,?,?,?,?,cluster2
415,3571,a720ce78075f33c3b38f092ff27543f1,?,?,10,?,0,?,0,?,?,?,?,cluster2
416,4042,be92beb9069433a09e9e6f8794116b00,?,?,10,?,0,?,0,?,?,?,?,cluster2
417,4228,c73a261bccb5369fbd003cfecf4e72e5,?,?,10,?,0,?,0,?,?,?,?,cluster2
418,4807,e21ed8b5e8ce3d06972753347ba47526,?,?,10,?,0,?,0,?,?,?,?,cluster2
419,5158,f330ce20cb5d37d6b4586cc09c6a5922,?,?,10,?,0,?,0,?,?,?,?,cluster2
420,5396,fe6a684c343c3f1dabeb4714cb44d748,?,?,10,?,0,?,0,?,?,?,?,cluster2
421,1546,4848bc263af53c788660c48a52711e32,?,?,9,?,0,?,0,?,?,?,?,cluster2
422,2117,62f8e4338089313b89538d0a9d85bde2,?,?,9,?,0,?,0,?,?,?,?,cluster2
423,2136,636a3736b56d33ad92f91a19d64a0f82,?,?,9,?,0,?,0,?,?,?,?,cluster2
424,2355,6ce56a795e7c3d10ad211d7dadb51c45,?,?,9,?,0,?,0,?,?,?,?,cluster2
425,2424,70818080a0c3340fbcd56996b5a5ed4e,?,?,9,?,0,?,0,?,?,?,?,cluster2
426,2629,7888fcc2c5453051bad401dc8649075d,?,?,9,?,0,?,0,?,?,?,?,cluster2
427,2908,85ce5fbbd2c93029816cd4498f2c7dcf,?,?,9,?,0,?,0,?,?,?,?,cluster2
428,3071,8dcbd651be753a95b73c7883b8b07831,?,?,9,?,0,?,0,?,?,?,?,cluster2
429,4418,cfb5b5a4a6f23eb59b7a0b4eec6d6f30,?,?,9,?,0,?,0,?,?,?,?,cluster2
430,4553,d5d9106e6d303b198529bb4066ec5542,?,?,9,?,0,?,0,?,?,?,?,cluster2
431,4565,d6695b854e2034fb8098f0ab4c98ad95,?,?,9,?,0,?,0,?,?,?,?,cluster2
432,1813,5572b5a918363fbebf37c9b1e00a8024,?,?,8.5,?,0,?,0,?,?,?,?,cluster2
433,26,01384d031ecb3f77a6e31c21ee7d8788,?,?,8,?,0,?,0,?,?,?,?,cluster2
434,575,1a1cfbc2aaf435659c50d84ecd77a1b6,?,?,8,?,0,?,0,?,?,?,?,cluster2
435,1094,3250d6446e87321eaf83023e64e10122,?,?,8,?,0,?,0,?,?,?,?,cluster2
436,1532,47b523961a0d32ff88ac62581ea2dd52,?,?,8,?,0,?,0,?,?,?,?,cluster2
437,1669,4e428558122233639c7bc7bccb352b8f,?,?,8,?,0,?,0,?,?,?,?,cluster2
438,2023,5ec3717dbd6d30058c5eb9aabedb65d4,?,?,8,?,0,?,0,?,?,?,?,cluster2
439,2564,75f01020720935a4a3801abb1e78980a,?,?,8,?,0,?,0,?,?,?,?,cluster2
440,3243,961166b6c32130dd82e4203cac0c67a5,?,?,8,?,0,?,0,?,?,?,?,cluster2
441,3398,9e3ea06a0444360a93fd78d49d4ab712,?,?,8,?,0,?,0,?,?,?,?,cluster2
442,3686,ac918b26304233eb87fc4a7f88b7cbaa,?,?,8,?,0,?,0,?,?,?,?,cluster2
443,3892,b64e0c2c1705361f866a61ff739890ca,?,?,8,?,0,?,0,?,?,?,?,cluster2
444,4359,cce4d738c84d36539ea89d31791271eb,?,?,8,?,0,?,0,?,?,?,?,cluster2
445,5275,f8b11bb3fb0430d7b4ef2f54ec11bfe6,?,?,8,?,0,?,0,?,?,?,?,cluster2
446,5295,f9b9ef5e41e03f72be5296aeadfa2b06,?,?,8,?,0,?,0,?,?,?,?,cluster2
447,1039,2f792fef61ce3aea83129e2352e5bfa2,?,?,7,?,0,?,0,?,?,?,?,cluster2
448,1159,3505deff5a283b828866be552b0d8373,?,?,7,?,0,?,0,?,?,?,?,cluster2
449,1665,4e0161437e5431e5bed9fed63fc6a5dc,?,?,7,?,0,?,0,?,?,?,?,cluster2
450,1847,573994c0dc6c3039b08f50f4a6b0fe65,?,?,7,?,0,?,0,?,?,?,?,cluster2
