inst#,actual,predicted,error,prediction
178,1:?,2:good_actor,,0.928
179,1:?,2:good_actor,,0.928
180,1:?,1:bad_actor,,1
181,1:?,2:good_actor,,0.9
182,1:?,2:good_actor,,0.928
183,1:?,2:good_actor,,0.8
184,1:?,2:good_actor,,0.928
185,1:?,2:good_actor,,0.928
186,1:?,2:good_actor,,0.928
187,1:?,1:bad_actor,,1
188,1:?,2:good_actor,,0.928
189,1:?,2:good_actor,,0.928
190,1:?,2:good_actor,,0.928
191,1:?,2:good_actor,,0.928
192,1:?,2:good_actor,,0.8
193,1:?,2:good_actor,,0.928
194,1:?,2:good_actor,,0.928
195,1:?,2:good_actor,,0.9
196,1:?,2:good_actor,,0.928
197,1:?,2:good_actor,,0.928
198,1:?,2:good_actor,,0.928
199,1:?,2:good_actor,,0.928
200,1:?,2:good_actor,,0.928
201,1:?,2:good_actor,,0.928
202,1:?,2:good_actor,,0.928
203,1:?,2:good_actor,,0.9
204,1:?,2:good_actor,,0.928
205,1:?,2:good_actor,,0.928
206,1:?,2:good_actor,,0.928
207,1:?,2:good_actor,,0.928
208,1:?,2:good_actor,,0.928
209,1:?,2:good_actor,,0.928
210,1:?,2:good_actor,,0.928
211,1:?,2:good_actor,,0.928
212,1:?,1:bad_actor,,1
213,1:?,2:good_actor,,0.928
214,1:?,2:good_actor,,0.928
215,1:?,2:good_actor,,0.928
216,1:?,2:good_actor,,0.928
217,1:?,1:bad_actor,,1
218,1:?,2:good_actor,,0.928
219,1:?,2:good_actor,,0.928
220,1:?,2:good_actor,,0.928
221,1:?,2:good_actor,,0.928
222,1:?,2:good_actor,,0.928
223,1:?,2:good_actor,,0.928
224,1:?,2:good_actor,,0.928
225,1:?,2:good_actor,,0.928
226,1:?,2:good_actor,,0.928
227,1:?,2:good_actor,,0.9
228,1:?,2:good_actor,,0.928
229,1:?,2:good_actor,,0.9
230,1:?,2:good_actor,,0.928
231,1:?,2:good_actor,,0.9
232,1:?,1:bad_actor,,1
233,1:?,2:good_actor,,0.8
234,1:?,2:good_actor,,0.928
235,1:?,2:good_actor,,0.928
236,1:?,2:good_actor,,0.928
237,1:?,2:good_actor,,0.928
238,1:?,2:good_actor,,0.928
239,1:?,2:good_actor,,0.928
240,1:?,2:good_actor,,0.928
241,1:?,2:good_actor,,0.928
242,1:?,2:good_actor,,0.928
243,1:?,2:good_actor,,0.928
244,1:?,2:good_actor,,0.928
245,1:?,2:good_actor,,0.928
246,1:?,2:good_actor,,0.928
247,1:?,2:good_actor,,0.928
248,1:?,2:good_actor,,0.928
249,1:?,2:good_actor,,0.928
250,1:?,1:bad_actor,,1
251,1:?,2:good_actor,,0.928
252,1:?,1:bad_actor,,1
253,1:?,2:good_actor,,0.928
254,1:?,2:good_actor,,0.928
255,1:?,2:good_actor,,0.928
256,1:?,1:bad_actor,,1
257,1:?,2:good_actor,,0.928
258,1:?,1:bad_actor,,1
259,1:?,2:good_actor,,0.928
260,1:?,2:good_actor,,0.928
261,1:?,2:good_actor,,0.928
262,1:?,2:good_actor,,0.928
263,1:?,2:good_actor,,0.928
264,1:?,2:good_actor,,0.928
265,1:?,2:good_actor,,0.928
266,1:?,2:good_actor,,0.928
267,1:?,2:good_actor,,0.9
268,1:?,2:good_actor,,0.928
269,1:?,2:good_actor,,0.928
270,1:?,2:good_actor,,0.9
271,1:?,2:good_actor,,0.928
272,1:?,2:good_actor,,0.9
273,1:?,2:good_actor,,0.928
274,1:?,2:good_actor,,0.928
275,1:?,1:bad_actor,,1
276,1:?,2:good_actor,,0.928
277,1:?,2:good_actor,,0.928
278,1:?,2:good_actor,,0.928
279,1:?,2:good_actor,,0.928
