inst#,actual,predicted,error,prediction
014a298d48f93805bf63dbaec2c80f0b,1:?,2:good_actor,,0.699
0151202abc313f209861774839dabce4,1:?,2:good_actor,,0.691
0151dcfbbe083e869bdb84d2dad9c91a,1:?,2:good_actor,,0.691
0153d1f12a393fc8a8b67786b72a84fb,1:?,1:bad_actor,,0.762
0157074c906b3bab91b0c3a90db18a40,1:?,1:bad_actor,,0.762
015a9e54cc2a37b69e8dbf37db264d29,1:?,1:bad_actor,,0.762
015c59b763dc373eba2372a69b7a18a7,1:?,2:good_actor,,0.691
015c859804fc3d1d8937aa13c844064e,1:?,2:good_actor,,0.691
015d5980df0337e7944e4c57d1bc9b43,1:?,2:good_actor,,0.691
015dfe2fd0eb3522af265652cc6dc476,1:?,1:bad_actor,,0.999
016209ba5a3134bc82d6b9448a85add8,1:?,2:good_actor,,0.699
016b8f0ea6f93c3ebb4956a17b4d7e5c,1:?,2:good_actor,,0.691
016c80757fa43343b4820790a925ce3a,1:?,2:good_actor,,0.699
016dd97e8fd1332a88b6805543728c9a,1:?,2:good_actor,,0.691
017d568787f9347298cfa38154c45787,1:?,2:good_actor,,0.691
017f65d9d01436f19ef568b0decd2668,1:?,2:good_actor,,0.691
0186af39e1803757a7856f0c92e80e10,1:?,2:good_actor,,0.691
018ca8ec11043e8fb83456c4efec45db,1:?,2:good_actor,,0.691
0196f3b9f42433a9b200fc64f7b3b32c,1:?,2:good_actor,,0.691
0197cd1358883ad3836c436d7ae4aaa5,1:?,1:bad_actor,,0.999
019db44868543f0b912ad95a72234e99,1:?,1:bad_actor,,0.762
01a3b0c545413b95815a3a0538e00960,1:?,2:good_actor,,0.691
01a442f22e8a3205bc66ada3faefd208,1:?,1:bad_actor,,0.999
01a93c5c0f703e369eccaab7ebf06ddd,1:?,2:good_actor,,0.691
01b6c26e65803eb893776ac359237767,1:?,1:bad_actor,,0.762
01b7bd38b94437c394812160d0e4fd6c,1:?,2:good_actor,,0.699
01ba8127e62d3d1b938d4bbcb43f5b4f,1:?,2:good_actor,,0.691
01be11c8d74e35b4a991ad560a65147c,1:?,1:bad_actor,,0.999
01c860a4221239caab146caed5963323,1:?,1:bad_actor,,0.999
01cc54a5847830c48caf35b5b90045ad,1:?,1:bad_actor,,0.762
01cdfe77cb763d518c14652588c1f7d6,1:?,2:good_actor,,0.691
01ce55daa4e331008b1868ebe34b10c6,1:?,2:good_actor,,0.691
01d40c4a49cd316395c31827f8878a15,1:?,1:bad_actor,,0.999
01d969ac837539ccab86e5c492b5cd00,1:?,2:good_actor,,0.691
01dba18e50b6396386d5c4e0a0a03928,1:?,2:good_actor,,0.691
01dd78d8d2a734aa8699d00788739d80,1:?,1:bad_actor,,0.999
01de8e0f1150335d95f98af18313afed,1:?,1:bad_actor,,0.999
01e35f48369b3113a6efa3cbc4030143,1:?,1:bad_actor,,0.762
01e4a143a00c3f3ba77eeca99e525761,1:?,2:good_actor,,0.691
01e8bc639600371b98a2af7c344854e4,1:?,1:bad_actor,,0.762
01ebceaf29f836578019c8585cf82437,1:?,1:bad_actor,,0.762
01ee91fc4d1b3a82871e2326ff6bc773,1:?,1:bad_actor,,0.8
01f547969008324f8ad76edaab797300,1:?,1:bad_actor,,0.8
01ff1749109d3dcbb75d13b3cf79679d,1:?,2:good_actor,,0.691
01ffe52253f8330e801daa5f8165156d,1:?,1:bad_actor,,0.762
02065d59f10135ea9c5550c7e6a1d779,1:?,1:bad_actor,,0.762
0212085f101c387b886aa677f915ee58,1:?,2:good_actor,,0.699
02131fb7d77e309a92c8cff0c8dbbdb8,1:?,1:bad_actor,,0.762
02146158cf923cb186b5e3ff8d8ebc5c,1:?,1:bad_actor,,0.999
021557698866325d82701878b8023611,1:?,1:bad_actor,,0.762
021f7ddb935539c5b7952efc35971489,1:?,1:bad_actor,,0.999
02250d677252315fbd5dae894475d5e1,1:?,1:bad_actor,,0.762
022634e36c0d396e9a6160b97f868c79,1:?,2:good_actor,,0.691
02303f627c7a3a42b4d59bff21eca4b2,1:?,1:bad_actor,,0.999
0232a206de733ee5a81a90f0f96f5f6e,1:?,1:bad_actor,,0.762
0237fbcb2b9f3c7d87937e361dd8deac,1:?,2:good_actor,,0.691
023c45eb6a303dd8b46487e1ea604a76,1:?,1:bad_actor,,0.762
0240a0fbc02034ecaa90e5bfce8befa2,1:?,2:good_actor,,0.691
0243c4589b513b94ad43ca9dd349faf8,1:?,1:bad_actor,,0.762
024566ffe75e3b9787c7bfe38ddf46d6,1:?,1:bad_actor,,0.762
024dd9429eaf34db8b1ba732c1411354,1:?,2:good_actor,,0.691
025054151d7331848ae41f118803b037,1:?,2:good_actor,,0.691
0250ce6b3efe3f598ef46380e26f086d,1:?,1:bad_actor,,0.762
0253c88251c536ee8cc9aedf98ee2b1a,1:?,2:good_actor,,0.691
025e8fb0b0ac3f4c9c684f3c4c827cc2,1:?,1:bad_actor,,0.762
02606d96ee473c969d065d0d31add7aa,1:?,2:good_actor,,0.699
02624d8fc6fe314f84cd6ff17c6da2ac,1:?,2:good_actor,,0.691
02636590a16a3d49861b3a2a5593152e,1:?,2:good_actor,,0.691
026383be8e36380abffc09efda07c518,1:?,2:good_actor,,0.691
02681aaa8e323577a5df1fc32b46345b,1:?,1:bad_actor,,0.997
026c4fa51965341797c87b1fa7bc97b9,1:?,2:good_actor,,0.691
026ce30f26b931a4832a5b8fe6e31c1e,1:?,2:good_actor,,0.691
027318e734523a12a4b2c7e2d62224c7,1:?,1:bad_actor,,0.762
0273f130b51d3140b0004bbf7f5a6562,1:?,1:bad_actor,,0.762
027ea15be60e3dd49fc039a768cb87b7,1:?,2:good_actor,,0.691
0281d1b2e8233a9d8afbfd50f20416af,1:?,2:good_actor,,0.691
0284f344502e33f1a35582c7b5feb5ec,1:?,1:bad_actor,,0.997
029522cd2aa63f32aa51d367df5dc1a3,1:?,1:bad_actor,,0.98
02aa847f6ba13853ab5f27ec9f08f4c5,1:?,1:bad_actor,,0.8
02ae934c35353705b33594e552a4f09b,1:?,2:good_actor,,0.691
02b20871635836d7be7d11a2a1aff6c0,1:?,2:good_actor,,0.691
02b315f7e9663a01b94c12bd11411858,1:?,2:good_actor,,0.691
02b9a8d37d123879926f9e6f6fe0168b,1:?,2:good_actor,,0.699
02be1ccd10ae3ba6914d458d7e3c14bf,1:?,2:good_actor,,0.691
02bf48902d083406a89170e7098d58df,1:?,1:bad_actor,,0.762
02c600faba173cd59b19f392f45d1191,1:?,2:good_actor,,0.699
02c6106dfcec365cb0532fe70d980350,1:?,2:good_actor,,0.691
02c62d15163f308c88bb3eaecae62e6c,1:?,2:good_actor,,0.691
02c9a0e7a45a3d7bbc65fb48e427d143,1:?,2:good_actor,,0.691
02cb16105fe036e9a73fcb8609fe2e01,1:?,1:bad_actor,,0.997
02cc0859682c36928ef9c0bcb1436005,1:?,2:good_actor,,0.699
02cc2dc8d2e23f73b12e51b50c0cf415,1:?,1:bad_actor,,0.8
02ce637a29b531ad91253dfbe8a2e161,1:?,1:bad_actor,,0.762
02cf9e7c7e1733f09b98aa2690830742,1:?,2:good_actor,,0.691
02ddb7c0dc1c3da99362cfb4fef84cc2,1:?,2:good_actor,,0.691
02e022fdbac63704926565f4c8b79026,1:?,1:bad_actor,,0.762
02e12f7e2cc33b3ca2b16a69ce1a1240,1:?,1:bad_actor,,0.999
02e130f2395e3d3eace5b7b22e19bad9,1:?,2:good_actor,,0.691
02e44f57db273205a99741e48d24dc20,1:?,1:bad_actor,,0.762
02e4f9f989c034e29e034380141be7f7,1:?,2:good_actor,,0.691
02e60cf1775c3a9ebbc96cec2b578eec,1:?,1:bad_actor,,0.762
02f1fab4085d37cbb902d2ccdbe6164f,1:?,1:bad_actor,,0.762
02f27bf95cef310c997a0964010c1ee9,1:?,1:bad_actor,,0.997
02fc127ba3d5322bbc93b74a8396e6b3,1:?,2:good_actor,,0.691
0304305aafca336a97b961d4685ae632,1:?,2:good_actor,,0.691
0305e091c17b30e59436b1c2b4975b2a,1:?,2:good_actor,,0.699
03181e4a1a0f37a0bbdfeb719ef3c532,1:?,1:bad_actor,,0.762
0320bee77bd9332ca5684d2874ad83be,1:?,1:bad_actor,,0.762
0321df82b611369a9c12833937608dae,1:?,2:good_actor,,0.691
0322a191a22032c4a8b532334a87867d,1:?,2:good_actor,,0.691
03231e35e6323fc1abab0e6805cee657,1:?,1:bad_actor,,0.999
0336960b55ae34d3a967f45cc2644bf8,1:?,2:good_actor,,0.691
034b025cd4e138f39641f89aa7beda4e,1:?,2:good_actor,,0.699
034b487c3abe34e5a19315fda978cf7a,1:?,2:good_actor,,0.691
034c2b960a26334488e78fca1d7fe0d9,1:?,2:good_actor,,0.691
0351f0c2745a3712ad462a75cc0c87dc,1:?,2:good_actor,,0.699
035981ec7e8331c7b663bb0e66ae077d,1:?,1:bad_actor,,0.762
035f7506da10319ba4efef1f6f945904,1:?,2:good_actor,,0.691
035fbd0c47b932c4b4860ccab48725bf,1:?,1:bad_actor,,0.762
036063153a8e3f88b4883e498d9d8857,1:?,2:good_actor,,0.699
0362d725cb5a38d8a0ddf92bdedd98ab,1:?,2:good_actor,,0.691
0365a3fe8ce035fdb72bbd3ea7c28a5b,1:?,1:bad_actor,,0.762
0370c693be563fae8e5198b8729c9700,1:?,1:bad_actor,,0.762
03711b5f24563873bbea31db0807a737,1:?,2:good_actor,,0.699
03711be483713f5ba9b7e6fd8e396aa5,1:?,2:good_actor,,0.691
03765181084c3195a2d763e691725601,1:?,1:bad_actor,,0.762
037816801c4437d188b73341809bd855,1:?,1:bad_actor,,0.762
03799d68b927330199c1e7be40ac53a5,1:?,1:bad_actor,,0.997
037e22769f5e33f5a86c616398d07dfe,1:?,2:good_actor,,0.691
0380d458219634cda99e1b242e595693,1:?,2:good_actor,,0.691
