No.,Instance_number,author_guid,account_age,author_type,average_hashtags,average_links,average_minutes_between_posts,average_post_lenth,average_posts_per_day_active_days,average_posts_per_day_total,average_user_mentions,default_profile,default_profile_image,friends_followers_ratio,number_followers,number_friends,number_of_crawled_posts,number_of_posts,Cluster
519,5295,8eeb3d5966b63173975b3be449a21158,1398,?,0,0,?,10,1,0,1,1,1,14,21,294,1,352,cluster3
520,3178,56f04297d1ea3d8d8100b10b2d7e97d8,269,?,0,0,?,10,1,19,1,1,1,13.731481,108,1483,1,5255,cluster3
521,6306,ac71dfac72743d7cb97ccbcde58ca847,1478,?,0,0,?,10,1,2,1,1,1,13.383929,112,1499,1,3519,cluster3
522,7987,db34c2acde333eebb9fa2c1dccec296c,1657,?,0,0,?,10,1,1,1,1,1,13.353659,82,1095,1,2385,cluster3
523,3031,527e6b6c4eec3d77bb76d1fa15af50d6,952,?,0,0,?,10,1,0,1,1,1,13.3125,16,213,1,235,cluster3
524,5569,970acda2411137e3a89452ae31df19eb,17,?,0,1,17.391667,12.666667,3,10,1.333333,1,0,13.136364,66,867,3,173,cluster3
525,617,10f2d021227f33dd81b6231e942ff300,1633,?,0,0,?,10,1,3,1,1,1,13.126582,158,2074,1,5008,cluster3
526,3955,6b4d276c20cc3bd1a92ced52192d978b,2388,?,0,0,?,10,1,2,1,1,1,13.096774,155,2030,1,5331,cluster3
527,5108,89837e5aa4c8306aab71c3f1721d8567,47,?,0,0,?,25,1,0,1,1,1,13,1,13,1,9,cluster3
528,6392,aee795f9556c350982c33175be320ed7,486,?,0,1,?,23,1,2,1,1,1,13,47,611,1,1042,cluster3
529,4483,791222007cde3d79a8602cf28f9ab304,1798,?,0,0,?,10,1,1,1,1,1,12.964286,140,1815,1,3430,cluster3
530,1340,2385ae94b2503b3c835303a90b9aabec,1640,?,0,0,?,10,1,1,1,1,1,12.846154,130,1670,1,2381,cluster3
531,9232,ff5764c8717d3b5592f32a6b08556b1a,295,?,0,0,?,10,1,8,1,1,1,12.772727,44,562,1,2432,cluster3
532,3155,5620d701315630a99db157790df8341e,873,?,0,0,?,10,1,10,1,1,1,12.678161,174,2206,1,9535,cluster3
533,5715,9b626a06f9ee3a4194cc140d52c57bdb,1053,?,0,0,?,10,1,16,1,1,1,12.579399,233,2931,1,17362,cluster3
534,3097,5447c0d9cd3d3dbba123ae74e9ac0c9d,61,?,0,1,?,14,1,1,0,1,1,12.5,2,25,1,76,cluster3
535,3053,531cd60258f23f59892b25de5d63dc49,475,?,0,0.5,0.133333,8.5,2,14,0.5,0,0,12.161677,167,2031,2,6810,cluster3
536,5717,9b89b1ad68f43af2baad4e472f217ed8,1283,?,0,1,?,23,1,1,1,1,1,12.08642,81,979,1,2115,cluster3
537,1320,22edf743c5133fe1ac02ce9416d973f3,1943,?,0,0,?,27,1,0,1,1,1,12.033333,30,361,1,890,cluster3
538,4514,7a0304a9ba1639b898fc65b226c1a0b7,6,?,0,0.5,810.9,22,2,19,0,1,1,12,2,24,2,117,cluster3
539,7791,d544760beb473d5e8b8f55bdcfd196a0,142,?,0,1,?,21,1,1,0,1,1,12,1,12,1,163,cluster3
540,936,1883707834cc33b0aa998f0c23e1cd44,464,?,0,0,?,10,1,3,1,1,1,11.962264,53,634,1,1573,cluster3
541,6948,be0b876fec173f37b7d5cf9e4b4fe21e,87,?,0,1,20840.05,6,1,49,0,1,0,11.933014,418,4988,2,4303,cluster3
542,2975,50db01f8171d3a3d8b01cd20bca583a7,145,?,0,1,?,19,1,0,0,1,1,11.8,25,295,1,38,cluster3
543,152,03ba3a5ff86e3ef0988fb3d97c1169aa,133,?,0,1,?,12,1,0,0,1,1,11.25,4,45,1,6,cluster3
544,3646,63211e83ce263ef78f76c27fea7d8a82,672,?,0,1,3644.12,20.333333,1.2,96,0,1,0,11.08,125,1385,6,65104,cluster3
545,4876,8309f16fc2173a23b769dbe039bbe48a,1230,?,0,0,?,10,1,0,1,1,1,11,13,143,1,181,cluster3
546,8859,f449b8695e7539a29c6d38b3a735b9a1,522,?,0,0,?,10,1,0,1,1,1,10.833333,6,65,1,85,cluster3
547,2380,3ff2008e0c90384f853f27bfd3177508,1547,?,0,1,?,23,1,2,1,1,1,10.575,80,846,1,3220,cluster3
548,2458,428157488e1b34b0bc64009ad5caf481,100,?,0,1,?,23,1,29,1,1,1,10.333333,180,1860,1,2980,cluster3
549,4114,6fa15326ae23336d8f6a13ddd0714f7d,5,?,0,1,?,18,1,6,0,1,1,10.333333,3,31,1,32,cluster3
550,8993,f81b307b2b0032f88ae1982514b05f18,1267,?,0,0,?,27,1,0,0,1,1,10.333333,15,155,1,207,cluster3
551,691,12d3e045d6ab304eb85d9def4239c0e7,19,?,0,2,16777.33333,14,1,2,0,0,0,10.2,20,204,2,48,cluster3
552,324,08b859e81ac830aba26b93ad0d523b3a,204,?,0,0,?,14,1,0,1,1,1,10,1,10,1,18,cluster3
553,1630,2b65e931ae65333885bc8adc167ed16b,154,?,0,2,?,16,1,1,0,1,1,10,4,40,1,238,cluster3
554,5500,950bbeb0861a3adb95fae0ae3a8902d0,317,?,0,0.5,2001.366667,16.5,2,4,1,1,0,9.806452,31,304,4,1487,cluster3
555,4034,6d2de0fccfe6318ca13a93f240f562b4,2351,?,0,1,26.383333,14,2,0,0,0,0,9.709091,55,534,2,539,cluster3
556,4398,76d9952cd2583cb4aff40586397d93a3,24,?,0,0,2669.85,6.5,1,0,0,0,0,9.625,24,231,2,18,cluster3
557,9239,ff7bca8ee0fc3dae80146ad1792c29df,243,?,0,0,?,10,1,2,1,1,1,9.519685,127,1209,1,598,cluster3
558,7090,c1fdf7e4cbe93227a2f3b055878bf412,59,?,0,2,?,14,1,130,0,1,1,9.476839,367,3478,1,7676,cluster3
559,5987,a3ceae5a35e03a4e9ed102711209b9d5,1424,?,0,1,2183.491667,14,1.5,0,0,1,0,9.358209,67,627,3,40,cluster3
560,896,177dc18c767938119953bbebba995153,260,?,0,0,91.92963,15.5,5,6,0,1,1,9.342466,73,682,10,1719,cluster3
561,2818,4c5007b879b134dbb0cacef2372a397e,2433,?,0,2,?,18,1,0,1,1,1,9,4,36,1,40,cluster3
562,3953,6b449e82c10035e1a876275ec079a34e,856,?,0,1,5792.733333,14,1,0,0,1,0,8.909091,11,98,2,25,cluster3
563,72,01dd78d8d2a734aa8699d00788739d80,613,?,0,0.5,12727.3,16.5,1,18,1,0,0,8.751553,322,2818,2,11533,cluster3
564,4635,7d22b686654639a1a784d00de89a32c1,151,?,0,0.5,0.3,22,2,2,0.5,1,0,8.705426,129,1123,2,376,cluster3
565,5371,9114070c521934aa93a108e0b16e8781,545,?,0,0,6.516667,15,2,0,2.5,1,0,8.666667,9,78,2,345,cluster3
566,1446,26a5a35e5b33351aa4a0e97c465c55ce,180,?,0,1,?,23,1,11,1,1,1,8.492308,65,552,1,2032,cluster3
567,397,0b29258ac8063c83a5be0abe24e4c888,38,?,0,1,3167.8,15.5,1,942,0,1,0,8.384615,26,218,2,35820,cluster3
568,2628,473e5663666730b499c6e2fecdc49962,18,?,0,1,3.391667,20,3,0,0,1,0,8.3,10,83,3,13,cluster3
569,7889,d827d9e8e2633fc98d46efa3652416b3,1278,?,0,1,2.575,18,3,2,0,1,0,8.148148,54,440,3,3624,cluster3
570,1341,2386e23616ca3bc48a801cf2b4d2d974,103,?,0,1,6119.425,6,1,123,0,1,0,8.144681,470,3828,3,12759,cluster3
571,3951,6b3d9c200e473f57aee26fac49be5765,22,?,0,1,2006.333333,20,1,1,0,1,0,8.076923,13,105,2,37,cluster3
572,7896,d86cc91143ef38d19680f0c529feec60,63,?,0,1,?,20,1,0,0,1,1,7.833333,6,47,1,11,cluster3
573,1000,1a13a7bebf5b3766bf97a656a94464bc,292,?,0,1.5,0.216667,21,2,43,1,0,0,7.802597,385,3004,2,12698,cluster3
574,1158,1efd163c1d5a3a4c8fdd78a9c2f1d416,11,?,0,1,?,21,1,2,0,1,1,7.692308,13,100,1,27,cluster3
575,3363,5bf775fd6b643ad0a501df0c36b2ed45,11,?,0,1,189.55,18.5,1,4,0,0,0,7.4,5,37,2,54,cluster3
576,6859,bb9b9e5b8d50344c960f613b6b4ffacc,1396,?,0,1,22.383333,17,2,45,0,0,0,7.396226,265,1960,2,63374,cluster3
577,4832,8220e734b13934c48a12e0c0fc9a793a,913,?,0,0.5,16331.5,16.5,1,0,1,1,0,7.285714,21,153,2,291,cluster3
578,4492,79661c76fae53119a477b6fa77057e2b,520,?,0,1.5,0.033333,20.5,2,24,1,1,0,7.190184,326,2344,2,12886,cluster3
579,4226,7268fab539693e4aa2999b5d4bde739c,298,?,0,0,0.166667,9.5,2,48,1,1,0,7.187867,511,3673,2,14436,cluster3
